"dado";"grupo";"tecido";"semana";"elemento";"agrupamento";"relacao";"p.value";"relevancia"
"stats_elementos_G";"fixo";"-";"-";"mutavel";"c";"S / P";0;TRUE
"stats_elementos_G";"fixo";"-";"-";"mutavel";"c";"K / P";0,000811882986203752;TRUE
"stats_elementos_G";"fixo";"-";"-";"mutavel";"c";"Ca / P";0;TRUE
"stats_elementos_G";"fixo";"-";"-";"mutavel";"c";"Mn / P";0;TRUE
"stats_elementos_G";"fixo";"-";"-";"mutavel";"c";"Fe / P";0;TRUE
"stats_elementos_G";"fixo";"-";"-";"mutavel";"c";"Cu / P";0;TRUE
"stats_elementos_G";"fixo";"-";"-";"mutavel";"c";"Zn / P";0;TRUE
"stats_elementos_G";"fixo";"-";"-";"mutavel";"c";"K / S";1,58356075945493e-240;TRUE
"stats_elementos_G";"fixo";"-";"-";"mutavel";"c";"Ca / S";0;TRUE
"stats_elementos_G";"fixo";"-";"-";"mutavel";"c";"Mn / S";0;TRUE
"stats_elementos_G";"fixo";"-";"-";"mutavel";"c";"Fe / S";0;TRUE
"stats_elementos_G";"fixo";"-";"-";"mutavel";"c";"Cu / S";0;TRUE
"stats_elementos_G";"fixo";"-";"-";"mutavel";"c";"Zn / S";0;TRUE
"stats_elementos_G";"fixo";"-";"-";"mutavel";"c";"Ca / K";0;TRUE
"stats_elementos_G";"fixo";"-";"-";"mutavel";"c";"Mn / K";0;TRUE
"stats_elementos_G";"fixo";"-";"-";"mutavel";"c";"Fe / K";0;TRUE
"stats_elementos_G";"fixo";"-";"-";"mutavel";"c";"Cu / K";0;TRUE
"stats_elementos_G";"fixo";"-";"-";"mutavel";"c";"Zn / K";0;TRUE
"stats_elementos_G";"fixo";"-";"-";"mutavel";"c";"Mn / Ca";0;TRUE
"stats_elementos_G";"fixo";"-";"-";"mutavel";"c";"Fe / Ca";0;TRUE
"stats_elementos_G";"fixo";"-";"-";"mutavel";"c";"Cu / Ca";0;TRUE
"stats_elementos_G";"fixo";"-";"-";"mutavel";"c";"Zn / Ca";0;TRUE
"stats_elementos_G";"fixo";"-";"-";"mutavel";"c";"Fe / Mn";0;TRUE
"stats_elementos_G";"fixo";"-";"-";"mutavel";"c";"Cu / Mn";0;TRUE
"stats_elementos_G";"fixo";"-";"-";"mutavel";"c";"Zn / Mn";0;TRUE
"stats_elementos_G";"fixo";"-";"-";"mutavel";"c";"Cu / Fe";0;TRUE
