row  column  P-K  s(P-K)  S-K  s(S-K)  Cl-K  s(Cl-K)  Ar-K  s(Ar-K)  K-K  s(K-K)  Ca-K  s(Ca-K)  Mn-K  s(Mn-K)  Fe-K  s(Fe-K)  Cu-K  s(Cu-K)  Zn-K  s(Zn-K)  chisq
0  0  18.9034  10.7525  24.7058  11.2617  367.324  22.8154  17503.7  133.649  251.803  25.7984  13.4107  7.47238  22.0552  34.0203  46.7882  16.0063  14.3843  16.6385  2.40904  16.2406  1.16453
1  0  28.648  9.9014  60.0112  12.3869  441.027  24.4716  17308.6  132.728  218.408  26.744  3.61894  7.56088  11.2946  32.4159  67.7105  16.7679  45.9266  17.7583  2.44431  15.8758  1.12875
2  0  24.7604  8.99951  73.0803  12.3269  401.91  23.1135  17512.9  133.478  164.482  23.8503  2.44523  7.53483  45.455  32.1279  127.042  20.1379  6.95031  16.725  22.3265  17.5912  1.37554
3  0  139.441  17.5129  440.528  26.7592  1360.99  42.1081  16975.7  133.712  1452.51  48.694  71.1443  16.7659  3.75942  33.8685  1942.8  49.8682  19.3154  20.2236  33.7344  20.5861  1.18619
4  0  452.375  29.3372  1261.4  43.737  4329.25  73.3752  15931  133.646  5035.17  82.7312  546.387  33.8338  46.4199  22.9051  1163.14  41.5628  42.6072  21.9489  355.186  30.1016  1.21984
5  0  93.5333  15.1863  208.948  19.8076  632.514  29.7378  17142.5  133.396  698.966  36.5108  64.9042  13.3903  15.342  35.1739  385.528  28.1838  31.1685  19.6087  13.543  18.2225  0.997011
6  0  17.8856  10.1972  12.1597  10.7572  346.092  22.3171  17598.9  133.793  130.224  22.6895  46.4911  10.143  13.4337  43.7247  47.6991  17.5406  53.1037  20.198  23.2453  17.5075  1.11929
7  0  19.2348  11.1312  26.4226  11.9841  428.602  24.8604  17282.2  132.804  262.382  27.55  3.40949  8.30234  15.3204  32.9248  32.5807  15.5235  0.890642  16.7568  10.554  15.7993  1.18747
8  0  0.555953  8.67703  48.0648  12.3807  247.594  19.3707  17509.7  133.082  138.308  22.5572  0.0354446  6.56335  36.9596  36.3962  27.0179  15.5861  48.4035  18.8599  22.0253  16.128  1.16393
9  0  8.1587  8.88859  64.0988  12.4139  259.62  19.6045  17353.3  132.853  139.326  23.3431  6.98033  7.50485  41.0048  33.0748  29.6056  15.8618  60.0437  19.4301  41.8952  18.0827  1.13288
10  0  362.89  24.3327  555.868  29.9729  1693.91  47.3289  16980.3  134.808  2574.54  61.349  169.25  21.7495  7.39579  31.3124  909.307  36.8141  64.2575  20.3052  78.2532  21.4483  1.22082
11  0  45.9224  11.5694  47.487  12.0028  463.092  25.0854  17025.6  132.072  306.574  28.1907  25.106  9.50249  23.4489  34.4735  51.3233  16.6621  28.4186  17.9676  8.6083  17.2818  1.22309
12  0  9.5684  10.297  38.8268  13.1815  652.269  29.4911  16813.8  131.779  635.865  36.5307  0.246178  9.32473  1.65204  35.2745  40.3873  16.8565  22.2979  18.593  0.312947  16.6872  1.07181
13  0  33.8373  10.6947  59.0754  13.4116  867.096  33.7323  17189.1  133.209  887.518  39.5186  11.1346  11.0228  79.5226  30.8894  83.3986  17.56  45.6104  19.651  9.04736  17.172  1.12348
14  0  19.1524  11.1384  40.8717  13.6306  785.321  32.4011  17074.6  133.521  905.486  40.5758  18.5001  11.4267  55.7963  32.6203  33.9669  15.6492  34.0113  18.5761  39.4337  15.3101  1.27779
15  0  45.648  11.3527  61.3876  13.1131  616.927  28.578  17180.4  133.435  598.269  35.6663  11.2031  9.76819  41.3024  30.7273  44.8882  16.1075  40.4487  18.3607  12.7581  16.7529  1.12411
16  0  270.846  22.6046  533.554  30.2305  1881.72  49.7207  16431.7  133.337  3953.67  72.9443  215.788  24.2132  29.7434  28.518  746.142  34.5474  13.9261  18.2006  64.6715  20.6439  1.16999
17  0  369.868  26.3019  936.056  38.6748  3697.74  67.8342  16188.1  134.218  7052.38  94.5512  421.235  32.0851  52.2138  23.928  607.014  33.2349  57.5702  20.3837  139.936  23.551  1.13403
18  0  40.4146  11.8388  40.8494  12.5995  436.918  24.9816  17258  133.531  461.744  32.0565  1.11294  8.16754  30.6783  27.7414  51.2724  16.2588  17.1107  17.08  0.131649  16.2762  1.34497
19  0  7.20266  9.24384  37.6402  12.1828  494.023  26.0052  17187.7  132.782  570.986  33.9526  48.5389  11.7132  1.7069  27.2461  17.2547  14.8329  23.7905  17.5967  10.9695  15.0951  1.10574
20  0  21.9933  10.6345  62.8046  13.4252  513.237  26.6904  17083.3  132.869  680.522  36.3637  58.7313  12.6272  62.1365  31.0359  38.0007  15.8847  14.9509  16.8621  20.6064  17.2103  1.10734
21  0  26.4397  11.2052  38.8969  13.0058  491.875  26.395  17027.3  132.574  715.425  36.8176  15.1917  10.2638  50.148  43.9474  103.104  19.3146  36.3152  20.0759  5.88511  18.2636  1.37514
22  0  29.3046  11.2688  56.343  13.3832  434.769  24.9448  16760.4  131.693  614.016  35.8399  22.1977  11.2209  33.044  36.4713  15.3976  14.7552  10.1183  17.9876  20.8588  17.3391  1.22695
23  0  19.6782  11.1909  33.3395  12.398  384.659  23.9741  17198.2  132.798  451.85  32.1292  81.1682  13.6635  5.89435  30.1075  7.14543  14.3932  47.3527  18.1815  21.3425  15.278  1.33685
24  0  39.8924  12.9778  76.237  15.5378  423.359  26.1044  16811  132.509  1041.12  43.7802  1729.13  45.8657  2.22607  34.5487  421.851  27.3543  73.0383  18.8205  87.1393  18.9781  1.25736
