row  column  P-K  s(P-K)  S-K  s(S-K)  Cl-K  s(Cl-K)  Ar-K  s(Ar-K)  K-K  s(K-K)  Ca-K  s(Ca-K)  Mn-K  s(Mn-K)  Fe-K  s(Fe-K)  Cu-K  s(Cu-K)  Zn-K  s(Zn-K)  chisq
0  0  2.33826  10.2982  20.7374  11.4916  250.584  19.8587  19325.5  143.244  252.012  26.2496  6.84853  8.07997  7.80419  28.9439  347.76  24.8247  27.1347  16.8489  4.00742  14.9174  1.13648
1  0  6.24331  9.99198  22.5851  11.9128  630.66  28.9965  19088.6  140.091  740.335  37.8189  8.49436  10.7564  47.8388  37.5181  382.776  26.8599  82.3808  20.4261  0.0152992  16.3826  1.11195
2  0  36.5361  13.7033  92.7465  18.4915  3367.03  63.2715  18658.1  142.288  5287.26  82.9687  17.2775  20.0825  23.2469  26.9547  318.722  26.8609  61.7417  20.8155  3.2112  18.2416  1.13668
3  0  23.7303  14.4817  111.478  20.5248  4507.49  73.067  18640.7  143.207  7886.22  99.2719  63.6519  24.6061  7.89615  21.8851  269.798  25.3973  59.9101  20.4577  30.5526  16.6204  1.31983
4  0  66.4931  16.3424  124.425  21.6363  5664.89  81.4352  18744.7  144.547  10927.4  114.385  154.976  28.7637  27.725  21.3602  260.298  25.4362  48.257  18.8157  39.0039  18.2496  1.21808
5  0  61.0258  17.7753  133.943  23.4508  6570.32  88.0487  18753.6  146.121  13908.6  128.313  347.2  35.0211  31.2103  21.4759  253.23  26.1102  34.0842  20.7031  15.8257  18.8683  1.0851
6  0  41.4121  17.7405  111.114  23.5104  7016.16  91.304  18509.8  146.125  15087.5  133.623  475.029  39.5442  5.50882  22.6215  245.87  26.5456  14.9146  20.4827  35.9121  20.0841  1.20536
7  0  71.564  18.5407  126.638  24.2349  6921.53  90.0779  18662.4  145.509  15000.9  132.812  359.481  36.2436  24.661  21.3534  292.514  27.7516  22.8523  19.2482  62.1704  20.035  1.12577
8  0  83.4105  19.027  107.371  23.1971  6460.01  87.1949  18582.9  145.213  14411.4  130.669  297.603  34.2082  37.3376  20.8629  252.5  26.8517  36.7987  20.3095  65.045  21.0535  1.24317
9  0  74.7968  19.1039  94.6358  22.9067  5988.11  84.2294  18610.7  145.963  13491.9  126.345  283.011  33.3342  3.17246  21.4333  273.705  27.1625  26.5549  21.7179  1.04489  19.9564  1.32153
10  0  76.1776  17.9951  118.974  22.7125  5806.3  82.7155  18600.5  144.932  13237.6  125.521  208.924  32.9047  49.0626  21.898  271.944  26.113  52.1609  21.1399  27.7827  19.5729  1.133
11  0  33.9993  17.3756  94.7613  22.4597  5293.88  79.4222  18301.6  143.319  12664.3  122.597  201.41  30.8049  19.2453  21.635  254.506  26.1003  62.0982  20.0085  75.5163  20.3394  1.15808
12  0  103.481  18.9044  143.458  23.0223  5345.36  79.6545  18382.7  143.933  12947.1  123.923  237.485  31.9642  16.1473  21.1174  242.85  25.7766  72.0902  21.1481  30.8821  19.6026  1.14243
13  0  69.1207  17.8903  138.83  22.9402  5118.5  78.0532  18469.2  143.778  12984  125.084  145.877  29.9153  2.4119  22.3286  324.268  28.8052  17.1106  20.6613  11.0847  19.1062  1.21907
14  0  50.667  17.1251  171.695  24.1999  5184.17  78.4654  18443.9  143.703  12791.1  122.698  129.811  28.2369  8.31456  22.4357  537.263  33.0985  54.0183  21.5871  11.5905  19.4495  1.08279
15  0  34.9229  15.7414  187.381  23.4845  4230.58  71.4391  18644.3  144.152  10693.3  113.427  53.6995  26.6498  40.3228  22.3168  578.442  33.0677  50.7034  19.3519  24.7521  18.6526  1.18088
16  0  75.5651  16.2457  167.077  21.6707  3524.02  65.2449  18753.8  143.726  8649.08  102.514  69.5159  23.0578  56.7106  22.7855  461.392  30.2336  0.28017  17.0383  2.5437  16.1556  1.10372
17  0  83.9328  16.7001  145.153  21.118  2827.72  59.224  19012.1  143.786  6918.05  94.7903  70.3184  21.973  29.29  22.2403  232.538  23.6782  80.575  19.3937  8.42618  16.4945  1.17209
18  0  52.1982  16.5847  289.093  26.1351  3683.08  67.435  18691.7  144.326  10925.1  114.438  118.499  27.6111  24.2434  21.4761  329.469  27.8513  77.5109  19.6821  22.884  18.0673  1.18512
19  0  1584.02  49.2796  4359.67  76.1273  5479.02  85.9675  17415.6  143.606  18899.8  149.411  525.243  43.254  106.514  24.618  7088.62  91.1637  228.156  28.4008  1085.85  42.5091  1.13246
20  0  1468  48.9981  4444.3  78.0791  6213.23  91.8902  17109.9  143.652  27538.8  177.693  649.069  49.2603  139.932  26.2265  8673.73  100.857  310.335  30.7756  1353.48  46.5651  1.34361
21  0  1104.46  44.4401  3444.8  70.128  6230.43  91.0532  17285.2  143.773  26386.5  173.958  696.296  48.8227  92.9945  27.1701  5255.37  83.1827  276.258  29.8921  934.353  41.3212  1.22585
22  0  1668.55  51.2772  4550.55  78.6108  6212.06  91.5895  16937.9  142.907  24228.4  167.961  674.086  49.2655  118.161  26.4208  6509.14  89.6262  321.981  30.6525  1233.29  44.8226  1.24098
