row  column  P-K  s(P-K)  S-K  s(S-K)  Cl-K  s(Cl-K)  Ar-K  s(Ar-K)  K-K  s(K-K)  Ca-K  s(Ca-K)  Mn-K  s(Mn-K)  Fe-K  s(Fe-K)  Cu-K  s(Cu-K)  Zn-K  s(Zn-K)  chisq
0  0  38.6321  11.596  58.1288  13.6174  573.695  28.0239  15353.1  129.791  659.535  35.0704  5.08842  9.85824  2.0733  23.0856  135.058  17.1276  6.7383  14.7243  10.6261  15.4428  1.12142
1  0  49.9947  13.1523  109.007  16.5076  796.285  32.6005  15232.6  126.125  1075.16  42.2215  43.2767  12.6486  2.14535  32.2595  164.83  20.0386  6.24631  15.85  10.0064  15.8127  1.04954
2  0  1230.77  42.1228  2352.43  56.6259  2717.03  61.7156  13772.1  125.737  7585.08  98.4901  1168.47  45.4328  15.5067  21.6564  6413.43  86.5317  152.086  28.4217  937.633  41.4484  1.07422
3  0  688.252  31.3657  1256.79  41.5548  1553.98  46.8261  14620.4  126.394  3460.77  69.3177  464.779  29.5534  38.4132  26.191  1440.67  43.7241  103.216  21.8351  277.485  26.4142  1.29328
4  0  901.562  36.3384  1639.9  47.4876  1743.81  50.114  14494.1  126.84  4522.33  78.0786  581.076  33.68  32.0911  22.2824  1764.34  48.4638  64.2863  21.4785  418.958  30.6245  1.1901
5  0  321.064  23.5807  610.52  30.9467  1035.12  38.7218  14874.8  126.238  2402.7  59.011  223.963  22.7027  17.7755  26.2848  627.836  31.108  29.279  17.9401  68.7127  19.6328  1.18252
6  0  827.265  34.6709  1230.9  42.1362  1623.03  48.2758  14645.8  127.144  4523.28  77.6998  457.653  30.5512  27.4044  23.9064  2220.67  52.965  77.3474  20.8882  322.434  28.1258  1.16939
7  0  746.51  32.7979  1062.54  39.4019  1468.33  46.138  14689.7  127.201  4433.99  76.8491  318.454  27.7115  5.4062  24.9326  1281.27  42.3033  37.8112  20.2676  186.713  24.7248  1.15063
8  0  348.286  24.0822  640.743  31.4335  1184.17  40.64  14909.1  126.557  3099.14  65.0376  167.053  21.527  7.67198  29.5327  603.013  31.7723  49.719  19.7249  168.894  23.6378  1.1525
9  0  497.771  28.2224  806.734  35.2637  1415.8  44.5193  14867.8  127.514  3955.07  72.4217  214.652  23.6699  25.1184  26.0699  736.701  34.567  46.5429  18.7479  165.169  23.1489  1.06773
10  0  798.928  34.9638  1333.49  44.2639  1755.12  50.5487  14462.1  127.414  6340.38  90.0152  433.795  32.1003  17.7294  23.8964  2168.83  52.2459  153.014  24.2719  392.232  29.7694  1.12558
11  0  687.331  32.5016  1406.31  44.888  1970.54  52.7092  14258.1  127.954  6733.91  92.3541  584.11  34.8318  34.4761  22.7212  2158.34  52.9072  95.4147  22.5364  336.188  28.3346  1.19053
12  0  375.001  25.1743  713.314  34.0223  2453.04  56.2481  14747.7  127.964  7573.87  97.4737  263.666  28.8722  13.9933  23.3645  721.855  35.5343  72.2187  22.9682  119.268  24.1299  1.09633
13  0  667  32.7182  1080.45  41.5202  3148.95  64.5183  14118.8  126.78  9889.32  109.926  404.396  34.1884  26.9545  22.4103  1818.86  51.6309  50.4339  22.9102  212.173  26.9306  1.1091
14  0  754.248  33.5793  1480.79  46.0162  2332.95  56.6976  14106.6  126.063  8093.55  100.009  625.946  36.2919  9.53735  21.5574  2930.17  61.4374  26.936  21.3293  349.977  29.449  1.15726
15  0  553.979  29.7855  1177.02  41.4883  1622.78  48.4201  14286.5  125.827  5819.53  86.2195  422.863  30.538  4.74535  21.627  2232.19  53.1113  43.2771  20.6044  299.966  26.8914  1.2168
16  0  663.451  31.5978  1328.3  43.2524  1777.07  49.9369  14317  126.034  5915.53  86.5643  460.765  31.4253  13.4166  23.3475  1330.29  43.5654  66.0122  21.4869  314.084  27.5224  1.12145
17  0  963.174  37.0063  1736.69  48.9197  1953.01  52.6979  14266.7  126.267  6455.84  92.1102  565.346  34.3255  33.4156  20.8178  2147.75  52.1166  93.9587  23.0403  352.268  29.1884  1.10739
18  0  350.155  23.5536  705.045  32.1252  929.491  36.448  14897.9  125.922  1877.33  54.5984  147.348  19.6306  22.8002  27.8973  705.585  31.6737  2.7982  15.042  128.29  20.2498  1.23279
19  0  14.1129  9.25525  67.2614  12.8707  178.03  17.1144  15356.4  124.933  178.191  22.8967  18.1007  7.90196  9.73721  26.9893  21.4177  13.6643  50.6123  16.9062  20.4771  13.375  1.14432
20  0  22.0123  9.5464  56.3723  12.0421  182.905  17.0548  15185.4  124.247  79.3275  19.2689  14.7695  7.90615  38.5884  26.244  26.1163  13.327  82.441  17.6392  27.0285  13.7286  1.18683
21  0  26.3169  10.2025  34.2695  11.3286  166.365  16.7792  14979.4  123.672  89.0116  20.1585  14.6013  7.57825  16.6018  28.2254  49.9027  14.5615  18.7555  15.1454  8.10768  11.8785  1.23509
22  0  20.0075  9.50093  43.8596  11.6675  181.79  16.9618  15220.1  124.435  61.2057  17.9721  10.1476  7.26075  41.5693  28.8613  15.3527  11.447  65.5907  17.9096  6.52558  14.6057  1.22972
23  0  29.4832  10.0459  77.7114  12.918  157.53  16.4663  14806.8  122.691  144.903  21.8405  166.251  15.3657  30.0514  26.9375  118.227  17.1933  8.89551  13.7257  5.56925  14.3747  1.08678
24  0  20.6694  10.3927  49.667  11.6861  163.221  16.3443  14934.7  122.994  76.86  18.8768  38.9537  8.71016  5.72629  27.3645  9.27283  11.8701  50.3899  17.2719  4.68772  14.1377  1.09265
25  0  14.8766  10.0775  5.32473  11.5061  1142.86  37.698  14478.9  122.142  129.292  23.0086  2231.97  49.2345  5.53348  24.8387  651.83  30.737  60.1515  17.2599  223.663  22.8083  1.25079
26  0  3.25334  8.49104  27.2719  10.5545  172.845  16.3906  14775.1  122.438  80.9327  19.2488  36.5046  8.5037  0.957363  34.6034  24.4622  13.3603  54.9352  17.3566  0.150734  14.5941  1.22579
27  0  33.2601  11.8045  116.06  16.3062  638.171  29.4016  15295.4  125.832  700.084  36.4668  25.1548  12.406  8.90978  27.1856  50.6374  15.7218  10.8082  15.4249  16.3083  15.08  1.1549
28  0  70.2665  13.1063  100.22  15.4091  693.677  30.2792  15180.8  125.528  964.366  40.481  16.1284  10.8805  7.62096  24.1654  75.2908  15.9437  40.4231  16.6488  16.8092  14.6862  1.17639
29  0  789.695  33.767  1481.35  45.1439  1755.97  49.7194  14497.4  126.996  3678.88  71.3146  504.763  31.374  23.86  22.6705  1623.01  45.7869  80.8374  20.7065  262.526  25.701  1.23098
30  0  142.021  16.7849  171.831  19.0905  1009.83  36.2714  15274  127.183  1631.69  49.8533  93.6827  16.5565  5.27556  27.8122  275.929  22.8789  47.2792  18.6686  10.1419  16.5883  1.25053
31  0  542.113  29.3151  1017.08  38.6592  1400.48  44.971  14847.9  127.292  3725.39  71.599  492.79  31.4097  17.2223  26.715  1301.31  42.249  49.0997  20.7288  437.686  30.4575  1.15526
32  0  303.23  23.1894  475.18  28.2748  1128.18  39.4484  15200.4  127.417  2448.77  59.1599  165.251  20.623  1.06085  24.6462  402.272  26.7315  34.8893  17.0321  54.6904  17.3378  1.01509
33  0  230.469  21.3499  999.886  37.5193  1250.35  42.1144  14719.1  126.361  3135.75  65.8354  203.212  22.7525  11.9813  23.3632  385.622  26.1794  70.3218  19.3635  53.0798  19.2142  1.21649
34  0  571.865  29.6083  1238.41  41.8388  1615.89  47.764  14775  127.469  4885.2  81.3158  313.318  28.242  5.95234  22.9593  708.57  32.9048  80.2859  21.0515  262.166  26.295  1.08544
35  0  835.045  34.0541  1291.05  42.5086  1382.63  45.2063  14666.4  127.141  4656.4  78.6999  445.865  30.8577  20.6595  24.0392  1237.6  41.6823  1.95595  18.7373  373.244  28.7731  1.06255
36  0  345.792  25.3208  1009.73  38.5682  1627.73  47.5378  14548.4  126.335  4948.92  79.7614  244.651  25.5562  18.9744  23.8051  1626.4  46.6936  61.868  20.0752  102.723  21.5849  1.12158
