row  column  P-K  s(P-K)  S-K  s(S-K)  Cl-K  s(Cl-K)  Ar-K  s(Ar-K)  K-K  s(K-K)  Ca-K  s(Ca-K)  Mn-K  s(Mn-K)  Fe-K  s(Fe-K)  Cu-K  s(Cu-K)  Zn-K  s(Zn-K)  chisq
0  0  25.1172  14.2665  41.1484  15.5109  476.308  27.294  31279.7  178.671  366.113  34.7845  31.6802  12.8388  25.495  53.8587  26.8158  21.4085  63.6008  25.4782  17.8332  22.4139  1.20398
1  0  25.3805  14.3524  155.561  19.0844  414.333  25.7783  31226.9  178.117  241.297  30.6426  43.4319  11.649  46.4097  44.2687  34.4024  20.6853  0.362207  21.4739  0.326012  20.5547  1.26268
2  0  19.855  13.9526  28.4352  14.6777  372.932  24.8648  31346.8  179.016  312.091  32.0813  58.9106  13.4258  63.7918  42.3717  29.2978  19.8865  69.4888  23.7622  16.802  21.2422  1.34343
3  0  7.20108  13.1779  71.8811  16.8627  475.219  27.4479  31146.5  183.959  442.002  35.0344  66.6667  13.914  19.5042  47.643  53.2998  20.8154  21.0813  23.2659  14.2978  21.8433  1.36377
4  0  82.6888  15.6462  86.2264  16.4814  378.69  24.9255  31264  178.128  248.073  31.1184  44.8248  13.4703  55.6839  43.7977  30.5121  19.5085  8.95963  21.4314  3.77761  20.4855  1.38665
5  0  94.2023  16.7167  146.725  18.8116  374.318  25.2273  31079.3  177.874  270.468  31.2026  80.5606  14.159  33.0605  44.8438  247.345  27.5629  24.7813  22.2341  2.83139  19.7155  1.22756
6  0  55.1987  15.2422  101.147  17.2827  320.818  23.5471  31569.6  178.992  150.387  27.9454  60.5402  13.2803  6.19991  44.6576  160.434  25.4222  30.4005  22.2158  10.7088  21.7004  1.39378
7  0  50.7037  14.5457  91.2003  16.8061  453.929  26.5066  31453  179.19  235.89  30.2109  63.1422  12.6668  31.3286  46.621  58.3461  20.9932  0.289078  21.5433  53.6382  23.2328  1.22411
8  0  30.6537  14.838  44.2995  15.8569  359.786  24.6964  31324.8  178.686  167.85  28.9648  56.4206  12.2376  29.6612  47.554  110.541  23.3145  87.3594  25.3868  21.3972  21.168  1.27341
9  0  0.702316  13.2259  69.7862  15.5698  359.039  23.7838  31533.9  178.622  176.612  27.2038  36.5054  10.5153  60.5265  46.4343  35.1651  19.972  24.0343  22.4134  39.8066  20.0199  1.31436
10  0  8.25812  13.5789  61.4151  16.5277  425.833  26.427  31554.3  179.28  327.337  33.7487  31.1866  11.6304  10.7449  43.4067  8.5435  19.9737  66.2269  23.4614  19.5299  21.3525  1.22321
11  0  53.6145  15.5609  90.5955  18.5034  1017.03  37.8991  31613.2  181.064  1467.49  53.2228  75.0113  18.0877  4.1279  42.4146  49.0329  20.9733  45.0575  24.1096  46.1378  22.0187  1.28195
12  0  54.7627  16.0195  109.534  19.2829  1000.02  37.4942  30930.8  179.01  1577.37  55.4866  121.564  20.525  4.50303  44.699  49.6665  20.8296  22.718  24.1651  49.5938  24.3883  1.2344
13  0  69.5176  16.9873  87.354  19.1067  1259.64  41.835  30704.3  179.941  1804.23  56.9832  277.352  24.8259  31.8472  42.2995  27.2939  20.4225  9.91609  23.0894  7.90925  21.5166  1.26108
14  0  77.4548  16.6221  114.444  19.0976  1393.32  43.1243  30641.1  179.407  1995.36  59.0218  264.933  23.8766  14.9267  41.662  35.5914  20.289  64.5432  24.5901  1.93398  22.3336  1.3634
15  0  84.4931  17.8219  67.3592  18.7458  1429.45  44.0235  30851.9  179.128  1939.86  58.3399  296.386  24.894  54.9379  42.0698  68.4555  21.6149  22.0201  23.4454  41.142  24.1716  1.32034
16  0  129.631  18.822  58.9556  17.8262  1420.32  43.4733  31151.1  180.015  2012.24  59.4191  272.575  24.8323  55.0222  43.1313  57.4809  21.3144  38.1311  23.5851  8.101  22.2726  1.30251
17  0  54.7563  16.0737  116.897  19.5375  1313.78  42.3271  31055.6  180.429  1883.94  58.1722  142.859  20.9703  62.8487  44.4102  112.238  23.0889  34.1224  23.2121  24.1046  22.3508  1.24887
18  0  59.3302  16.7609  79.85  18.706  1296.62  42.1673  30833.3  179.363  1929.8  58.0062  136.884  20.4362  54.4824  45.9069  22.494  20.8106  91.4807  26.3088  1.15666  23.1804  1.26331
19  0  55.879  15.7731  79.5072  18.5663  1184.22  40.552  30937.1  179.459  1853.23  57.3315  37.13  17.3472  113.634  55.3765  71.0415  23.4158  98.0095  28.4574  20.9771  25.7525  1.35021
20  0  80.5782  16.0523  97.8762  18.4652  1262.08  41.1544  31059.7  182.704  1793.19  55.6083  63.943  17.0144  59.3426  48.2592  2.07716  20.4539  76.5238  26.0396  0.702866  23.8367  1.23619
21  0  36.4525  15.3388  76.8186  18.632  1239.96  41.2856  30777.8  179.39  1612.73  54.9684  93.9698  19.0196  30.9492  40.796  57.1218  21.0483  7.78947  21.9125  22.1199  21.2391  1.21592
22  0  23.0868  14.63  80.0749  17.7744  1200.84  40.2859  31119.6  180.52  1334.49  51.2447  140.71  19.4542  50.3536  44.2561  52.5717  21.084  52.9747  23.9152  0.423396  21.9902  1.30888
23  0  87.956  16.6047  88.5342  17.7265  1151.29  39.5957  30794.7  178.838  1308.91  51.0946  85.3031  18.0501  20.1878  43.2602  28.0242  20.2784  6.13352  22.5798  0.217965  21.5768  1.21724
24  0  36.8273  15.8165  71.2088  18.0421  1128.24  39.8708  30668.9  177.898  1202.17  49.2607  89.8935  18.8531  71.6072  44.8787  13.3364  19.396  97.8361  25.0224  4.36898  21.9965  1.22599
25  0  17.726  14.2247  89.8251  17.9066  1196.62  39.9688  30962.1  178.722  1231.82  49.6435  111.046  18.7717  3.62035  58.2844  53.2449  23.3478  78.7248  28.0304  0.399809  24.7417  1.27662
26  0  38.2645  15.4123  60.9655  17.3911  1133.48  39.3169  31331.7  180.066  1113.28  49.3317  109.788  19.139  31.54  48.908  47.2553  22.2705  4.97332  25.3146  5.79866  24.0908  1.20583
27  0  20.0469  13.8346  76.6894  16.6902  391.32  25.3325  31520.8  179.823  186.288  29.9676  17.5851  10.8716  56.7069  42.7455  56.2092  21.1074  85.1589  24.5033  4.63098  20.9471  1.23604
28  0  20.1474  13.6295  82.9313  16.9195  409.541  25.6227  31140.8  177.882  179.971  29.8261  28.1522  12.1306  54.4815  52.4712  64.2313  22.0615  57.2381  26.0614  4.35261  23.8118  1.24908
29  0  34.5684  15.2711  66.0763  16.6176  424.308  26.2845  31065.5  178.154  218.804  30.6312  117.831  15.8169  83.5609  47.2795  65.3825  22.329  77.0392  25.2538  52.6524  23.881  1.43289
30  0  27.9317  14.3701  132.241  18.9181  492.741  27.6845  31438.5  178.642  317.874  31.7991  104.735  14.5041  27.4258  43.1504  71.1338  21.9408  74.344  24.4962  9.22947  21.7133  1.19141
