row  column  P-K  s(P-K)  S-K  s(S-K)  Cl-K  s(Cl-K)  Ar-K  s(Ar-K)  K-K  s(K-K)  Ca-K  s(Ca-K)  Mn-K  s(Mn-K)  Fe-K  s(Fe-K)  Cu-K  s(Cu-K)  Zn-K  s(Zn-K)  chisq
0  0  26.7971  9.04319  38.7146  10.3416  115.492  14.0574  13229.6  115.645  40.6914  17.0738  1.82114  6.42879  18.69  39.4793  30.5906  14.6385  51.0856  17.033  54.9445  16.5793  1.03442
1  0  22.2027  9.01268  37.4706  10.616  92.0172  13.448  13266.6  115.956  42.1666  17.0474  0.114623  6.39124  1.75901  21.1654  81.6009  14.3369  30.3435  13.8215  21.083  12.9839  1.16953
2  0  38.4343  11.1267  69.1703  13.09  462.504  24.8701  13220.5  117.246  583.609  32.7536  16.2303  8.69203  2.24679  23.4523  32.3192  12.6287  16.118  12.7893  39.9646  14.4402  1.20371
3  0  61.0108  11.5654  103.453  14.6937  802.192  31.9995  12941.9  116.469  1112.39  43.0485  37.8671  13.6432  5.63611  23.0168  26.7446  13.2225  7.24213  14.4627  30.8869  14.5477  1.17604
4  0  43.2056  10.57  86.0704  14.0291  487.812  25.7873  13402.7  117.707  628.571  34.2514  43.7726  12.4943  3.64251  29.0801  148.5  18.7112  22.1693  14.3522  2.67812  11.9461  1.1219
5  0  3.63657  8.78333  73.7973  13.5016  325.998  21.8652  13341.7  117.674  383.755  29.4119  32.7789  10.9112  32.0964  31.6177  41.8182  14.4653  5.20773  14.3173  3.33875  14.657  1.11804
6  0  42.953  11.178  120.098  15.3719  178.257  17.8633  13300.9  116.94  249.636  25.6261  23.5533  10.1995  0.992683  25.7029  43.226  13.9356  34.6755  14.0478  27.1516  13.4255  1.2096
7  0  3361.96  67.3732  8552.43  102.285  4863.1  84.0504  10947.2  118.621  23667.2  165.698  1256.99  56.8387  229.665  26.402  4875.71  77.8439  614.504  37.9392  4318.16  75.3335  1.3751
8  0  847.196  33.8532  1916.97  49.111  523.847  31.9356  12703.8  118.006  4872.7  78.4365  185.678  24.0561  48.9233  20.205  762.622  33.688  94.7126  18.7624  623.42  31.5921  1.20088
9  0  1223.15  40.3409  2760.63  58.4141  811.102  38.4827  12617.3  119.062  7445.17  95.4136  362.934  30.3501  40.4658  17.4245  1051.43  38.421  117.382  20.7613  866.303  36.2119  1.1731
10  0  1205.99  41.2648  2673.23  58.939  1913.31  53.5614  12435.7  119.339  9931.45  108.99  394.348  33.1888  58.2492  18.6206  1125.15  40.1216  150.308  22.4985  922.313  37.2712  1.16322
11  0  705.671  33.2568  1626.47  46.6263  1413.23  45.7808  12481.1  118.027  6658.11  90.355  195.318  26.1019  64.843  19.5274  604.542  30.6378  45.3848  17.721  578.769  31.0284  1.33137
12  0  141.393  17.1002  320.757  23.8443  833.096  34.4638  12967.9  117.737  2354.91  57.4677  81.1592  17.7487  5.95819  22.9818  99.9543  16.87  2.73806  13.0749  44.6516  15.3796  1.02274
13  0  28.1959  10.3049  131.378  15.9451  329.25  22.2657  13135  116.624  611.73  33.8728  19.4409  10.5245  5.66832  21.7663  32.7739  12.7084  3.38741  13.1878  25.6462  13.2682  1.22164
14  0  23.217  9.98853  63.8579  12.8825  120.955  15.2758  13085.7  119.108  143.297  21.9698  229.876  17.8635  14.3582  27.0185  26.9497  12.6381  33.005  14.5527  33.1273  14.0853  1.01976
15  0  25.618  9.67713  81.9171  13.2494  129.321  14.9239  13197.2  116.678  104.21  18.5862  97.9023  11.7384  28.5476  24.5199  73.025  14.1857  51.2525  15.3411  7.75302  12.5586  1.15979
16  0  20.5316  8.69791  104.04  13.5246  114.069  14.3285  12928.8  115.979  104.129  19.0767  35.5752  8.9516  57.9317  37.9675  78.6242  16.052  44.2373  15.5986  11.3985  13.1693  1.07282
17  0  30.5451  9.25029  74.8818  12.0482  122.727  14.3828  12829.6  114.217  114.817  19.4403  360.614  21.1014  3.0387  25.9724  34.3562  13.4401  44.9919  14.2911  5.11373  11.9875  1.24557
18  0  27.4667  7.2445  73.6504  10.9148  120.626  13.6498  12758.4  114.143  140.091  18.9995  24.7668  8.19171  19.1357  38.418  41.6402  14.2269  35.7952  17.5325  15.9439  13.5749  1.32574
19  0  0.500553  7.20439  90.727  12.5696  93.3591  12.8618  12910.2  114.294  66.4542  18.3004  29.3505  8.38653  1.23609  35.61  35.7482  14.267  34.4192  15.7611  9.20638  14.6191  1.05674
20  0  6.15963  7.62593  54.5374  11.0548  82.8785  12.76  12480.3  112.555  56.6089  18.0293  72.986  11.2451  9.92449  28.0415  67.0449  14.3265  42.5659  15.13  11.3569  13.277  1.0828
21  0  0.126509  7.3003  49.4134  10.9162  103.99  13.8287  12253.6  111.484  38.1413  17.0016  22.5909  7.91707  1.34678  35.4149  56.3269  15.0273  46.275  16.7876  1.33138  13.8231  1.04003
22  0  1.50467  7.32572  48.412  10.8309  118.228  14.1654  12406.8  112.121  25.4243  15.2535  14.5582  6.26406  0.152941  30.905  38.6358  13.7406  19.9654  13.5773  11.1056  13.7229  1.05391
23  0  0.0719243  7.39784  53.6975  11.3636  111.663  14.1504  12321.8  111.814  21.594  14.8043  326.923  20.2573  16.4774  26.1671  41.1001  13.5634  55.4857  15.5382  6.80153  13.0644  1.11419
24  0  6.74645  7.17069  57.5898  11.2757  124.137  14.4418  12182.5  110.961  11.9519  14.907  13.1267  7.11819  0.0327871  22.4923  36.8129  12.5398  23.9434  13.8919  16.1795  13.1437  1.07501
25  0  1.29959  7.55762  27.3217  10.5118  303.517  21.2429  12064.6  112.036  995.951  40.9421  97.3189  15.5786  6.97428  26.3268  46.9608  13.8405  41.7975  15.5643  0.00644098  13.2124  1.07157
