row  column  P-K  s(P-K)  S-K  s(S-K)  Cl-K  s(Cl-K)  Ar-K  s(Ar-K)  K-K  s(K-K)  Ca-K  s(Ca-K)  Mn-K  s(Mn-K)  Fe-K  s(Fe-K)  Cu-K  s(Cu-K)  Zn-K  s(Zn-K)  chisq  P-K-mass-fraction  S-K-mass-fraction  Cl-K-mass-fraction  Ar-K-mass-fraction  K-K-mass-fraction  Ca-K-mass-fraction  Mn-K-mass-fraction  Fe-K-mass-fraction  Cu-K-mass-fraction  Zn-K-mass-fraction
0  0  3.25254  5.12583  6.34716  5.21013  22.8611  7.0932  3108.46  56.4515  0.841664  8.18369  9.57477  5.61398  4.9578  12.7388  8.01102  6.2781  10.7527  8.17554  12.5487  9.28649  0.397223  0.00036307  0.000239638  0.000394927  0.0297918  4.49078e-06  3.16232e-05  5.48965e-06  8.66541e-06  1.62363e-05  2.37026e-05
1  0  7.2746  4.76165  7.06708  4.86316  16.2255  6.15092  3130.3  56.4119  0.691604  8.1675  5.26102  5.65669  0.926289  19.2462  2.94328  7.17825  24.3871  10.1269  5.14408  8.85174  0.371973  0.000812039  0.000266819  0.000280297  0.0300011  3.69012e-06  1.73759e-05  1.02566e-06  3.18371e-06  3.6824e-05  9.71638e-06
2  0  13.3598  5.19131  12.9729  5.66942  16.0483  5.87679  3175.1  56.8261  0.545046  8.35817  1.49752  5.63871  7.56549  13.1587  0.702805  5.62909  3.60111  6.70036  7.40768  7.41332  0.358929  0.00149131  0.000489794  0.000277236  0.0304305  2.90814e-06  4.94595e-06  8.37709e-06  7.60215e-07  5.43761e-06  1.3992e-05
3  0  12.9894  5.59043  12.0208  5.53791  17.5891  6.21938  3289.87  58.7522  4.51586  8.41495  0.520031  5.58128  0.90272  14.2944  2.66568  5.81921  13.3182  8.46383  1.37601  6.95861  0.361926  0.00144997  0.000453846  0.000303853  0.0315304  2.40948e-05  1.71754e-06  9.99561e-07  2.88343e-06  2.01102e-05  2.59907e-06
4  0  17.2424  5.52698  11.7118  5.19468  19.6015  6.78672  3259.19  57.8415  9.08755  9.75226  7.30661  5.42615  0.30084  11.9757  5.45915  5.69133  0.174795  6.27673  2.68027  6.93176  0.364167  0.00192472  0.000442179  0.000338616  0.0312364  4.84875e-05  2.4132e-05  3.33113e-07  5.90509e-06  2.63937e-07  5.06261e-06
5  0  6.88734  5.1438  9.38229  5.86921  29.0198  7.82192  3266.98  57.7862  21.5477  10.4546  2.25497  5.33348  3.1726  12.5051  3.60818  5.75151  8.58134  7.3072  17.9413  8.9747  0.341224  0.00076881  0.00035423  0.000501318  0.031311  0.00011497  7.44765e-06  3.51294e-06  3.90292e-06  1.29577e-05  3.38884e-05
6  0  6.48555  4.89682  10.0332  5.96196  56.2111  9.83992  3304.42  58.7673  93.3235  15.0066  1.34384  5.97663  2.34527  12.3008  7.53178  6.48896  0.765136  6.88404  3.38322  7.55297  0.357323  0.00072396  0.000378805  0.000971051  0.0316699  0.000497937  4.43841e-06  2.59686e-06  8.14702e-06  1.15534e-06  6.39037e-06
7  0  8.42933  4.99909  15.0998  6.21454  121.551  13.4861  3314.16  58.7318  132.371  16.3361  7.16282  5.8611  4.32303  14.6955  4.13935  5.726  13.9856  8.53976  1.2071  8.11071  0.382882  0.000940937  0.000570094  0.00209979  0.0317632  0.000706281  2.36571e-05  4.78679e-06  4.47748e-06  2.11179e-05  2.28003e-06
8  0  14.6903  5.36076  25.3596  7.24213  144.516  14.6755  3366.4  59.6363  161.219  18.3502  2.1447  6.29527  12.8304  13.8255  2.31258  6.1861  22.1159  8.83414  0.509145  6.69521  0.359452  0.00163983  0.000957453  0.00249652  0.0322639  0.000860201  7.08344e-06  1.42068e-05  2.50149e-06  3.33945e-05  9.61696e-07
9  0  16.2391  5.69326  9.98072  6.11359  147.854  14.6995  3430.02  60.2675  224.91  21.185  5.86588  6.76727  6.30886  11.9077  0.408688  5.98061  5.84305  7.13956  4.04141  7.06341  0.402045  0.00181272  0.000376823  0.00255418  0.0328736  0.00120003  1.93736e-05  6.98565e-06  4.42073e-07  8.82289e-06  7.63359e-06
10  0  13.8156  5.06081  12.3249  5.97443  146.672  14.7504  3495.36  61.1234  266.892  22.0887  0.184029  6.5747  4.35719  16.3791  14.3811  7.32803  11.1277  8.70163  0.37176  7.63319  0.376405  0.00154219  0.00046533  0.00253377  0.0334999  0.00142403  6.07805e-07  4.82462e-06  1.55559e-05  1.68026e-05  7.02197e-07
11  0  15.6005  5.31809  16.5921  6.12859  183.158  16.0593  3491.51  61.2327  334.499  23.4078  1.05596  6.58595  7.86792  12.1057  4.76473  6.08161  7.39876  7.09487  4.13121  7.08526  0.362831  0.00174143  0.000626435  0.00316406  0.033463  0.00178475  3.48758e-06  8.71197e-06  5.15394e-06  1.1172e-05  7.80323e-06
12  0  10.603  5.62594  11.2348  6.95772  165.291  15.7708  3467.62  60.8719  332.129  24.0145  4.36824  6.97783  1.10081  9.95665  8.48752  5.86353  3.57749  6.2897  8.4639  6.59414  0.3767  0.00118357  0.000424169  0.00285541  0.033234  0.0017721  1.44273e-05  1.2189e-06  9.18083e-06  5.40194e-06  1.5987e-05
13  0  17.0665  5.61018  18.5755  6.38071  154.663  15.0424  3540.57  61.4679  359.876  24.4221  5.01301  6.33772  10.4721  12.1364  2.29052  5.35105  29.1743  9.44547  1.2852  7.10632  0.363439  0.00190508  0.000701321  0.0026718  0.0339332  0.00192015  1.65568e-05  1.15955e-05  2.47762e-06  4.40526e-05  2.42754e-06
14  0  10.4717  5.33147  7.74178  6.20713  152.4  15.1213  3473.55  60.6377  361.389  23.4463  0.0210534  5.64039  4.04589  11.488  4.90363  6.01412  21.4912  8.28204  21.7561  8.5811  0.36564  0.00116892  0.000292292  0.00263273  0.0332909  0.00192822  6.95344e-08  4.47992e-06  5.30419e-06  3.24513e-05  4.1094e-05
15  0  9.31909  5.33781  8.2795  6.34584  153.048  15.2426  3564.03  61.6118  340.708  23.205  4.02109  6.43123  0.893892  12.136  6.93526  5.83869  6.6227  7.35894  21.5252  8.8528  0.36813  0.00104026  0.000312594  0.00264391  0.034158  0.00181788  1.32807e-05  9.89785e-07  7.50177e-06  1.00002e-05  4.06578e-05
