row  column  P-K  s(P-K)  S-K  s(S-K)  Cl-K  s(Cl-K)  Ar-K  s(Ar-K)  K-K  s(K-K)  Ca-K  s(Ca-K)  Mn-K  s(Mn-K)  Fe-K  s(Fe-K)  Cu-K  s(Cu-K)  Zn-K  s(Zn-K)  chisq
0  0  3.94452  4.83016  11.1483  5.81469  28.5174  8.2588  4035  64.9917  0.150942  11.3333  7.69137  5.8754  6.10363  13.7284  2.40919  6.87111  1.92043  7.8921  1.59288  9.22202  0.457195
1  0  10.7895  5.87689  6.45959  5.72455  17.0381  7.22893  4065.46  64.4953  2.67832  10.2613  8.89187  5.96102  3.39824  12.962  12.8982  6.09939  12.6845  8.25943  8.26335  8.06461  0.501211
2  0  8.60615  5.25434  6.66002  6.00433  28.6248  8.09956  4061.61  64.8066  19.4646  12.23  4.43633  5.43233  2.13624  14.6201  8.53295  6.86005  27.4024  9.54106  9.5383  8.53969  0.472735
3  0  1.46609  4.8464  2.54986  6.20143  22.0895  7.72422  4138.64  65.2128  2.59175  10.0891  8.59235  6.07683  3.88521  17.3227  6.2467  7.18321  10.7692  9.37945  0.11285  8.41387  0.48063
4  0  5.08793  5.245  39.3096  9.03297  75.7536  11.7785  4051.41  65.0368  78.5344  16.2259  54.0528  9.90581  3.88584  16.4249  16.6597  7.78224  3.20733  8.21518  4.88347  8.58307  0.510807
5  0  15.3601  8.60012  220.253  19.0412  3887.43  64.9521  403.347  24.8409  140.485  15.6269  0.909365  6.11616  6.5286  6.95532  0.245075  6.50712  2.94304  8.60898  0.553355  8.48749  0.719585
6  0  0.748877  6.32262  9.54643  8.50816  323.412  22.1754  4237.82  67.8443  503.033  29.3885  104.327  14.0874  26.711  14.3154  22.5428  8.00055  8.37475  9.0842  5.77428  8.4475  0.620519
7  0  14.328  7.43251  315.045  20.8651  4075.69  66.3096  577.673  28.9994  184.88  16.9509  4.82203  5.95947  9.43774  6.70549  7.69714  6.94288  2.44624  7.40543  4.81489  7.41  0.729181
8  0  14.419  6.18019  26.8437  8.61099  229.678  18.529  4251.01  68.3148  389.651  26.8507  73.0876  12.3904  2.5224  11.8246  14.223  7.13011  1.8106  6.89274  4.35625  7.17723  0.518445
9  0  15.0027  6.05676  11.0532  7.32257  195.874  17.1942  4223.96  67.2194  451.724  27.4372  58.7617  11.9007  4.28881  14.6827  40.4868  9.58434  7.64674  9.53127  14.1349  10.7427  0.489645
10  0  14.4176  6.44845  28.4266  8.19257  212.508  17.5526  4366.7  68.9098  484.582  27.9447  52.7755  10.9919  3.01771  10.9214  7.22352  5.8972  7.72523  7.7768  1.71452  7.89198  0.515437
11  0  15.3204  6.52219  35.7525  9.2949  167.995  16.4811  4397.81  68.801  488.515  28.6359  12.9033  8.18217  2.41389  10.7003  14.0035  7.05622  11.2266  7.67418  22.4713  9.25465  0.5099
12  0  13.6075  5.82113  48.3949  10.0038  132.593  15.626  4490.18  69.2734  476.473  28.6076  3.31646  8.86539  3.22515  13.0284  26.8963  8.32013  12.1607  8.50714  10.1426  8.44184  0.490761
13  0  31.9758  7.1857  53.4053  10.0868  142.043  15.453  4430.05  69.019  526.75  29.1222  5.10898  7.98385  6.72242  10.8989  21.552  7.64152  14.3101  8.27308  7.41479  7.9442  0.482846
14  0  41.5124  8.97451  102.066  13.3122  93.3934  13.99  4457.01  69.1696  697.409  32.2312  6.97849  8.5703  7.02736  14.2045  102.72  13.1814  14.0541  9.08575  5.54127  8.90047  0.49606
15  0  259.383  19.4262  650.83  29.8017  315.24  24.4909  4175.12  69.6874  3468.69  65.1729  72.9281  18.1542  9.70359  8.96425  1300.43  38.8916  53.5803  11.9863  287.606  21.122  0.533171
16  0  256.387  18.5553  594.99  27.6494  209.909  20.0918  4213.14  69.1227  2263.49  54.3834  556.713  29.4723  20.6063  10.1357  930.034  33.7206  55.2439  11.7707  416.287  23.9286  0.739254
17  0  220.299  17.9524  517.884  26.6093  190.079  19.5785  4302.73  69.8139  2301.45  53.9264  19.6401  13.5008  6.1403  9.92467  410.725  23.8499  43.614  10.8502  92.5421  14.1802  0.575812
18  0  238.269  18.3905  560.205  27.5884  176.357  20.0235  4402.45  70.8222  2696.04  57.7055  9.8313  11.8412  1.5722  8.76451  503.959  25.4123  34.3117  10.1332  144.266  15.7381  0.549139
