row  column  P-K  s(P-K)  S-K  s(S-K)  Cl-K  s(Cl-K)  Ar-K  s(Ar-K)  K-K  s(K-K)  Ca-K  s(Ca-K)  Mn-K  s(Mn-K)  Fe-K  s(Fe-K)  Cu-K  s(Cu-K)  Zn-K  s(Zn-K)  chisq  P-K-mass-fraction  S-K-mass-fraction  Cl-K-mass-fraction  Ar-K-mass-fraction  K-K-mass-fraction  Ca-K-mass-fraction  Mn-K-mass-fraction  Fe-K-mass-fraction  Cu-K-mass-fraction  Zn-K-mass-fraction
0  0  7.23198  5.11181  16.1287  5.79829  23.4713  6.7866  3149.8  56.7328  0.0336857  9.11493  2.13167  5.87444  9.47179  19.231  10.0441  9.14967  43.9926  16.6424  14.5956  16.8263  0.654303  0.000807282  0.00060894  0.000405468  0.030188  1.79733e-07  7.04039e-06  1.04879e-05  1.08645e-05  6.6428e-05  2.75689e-05
1  0  9.30583  5.39829  11.7183  5.58662  13.9241  6.69028  3138.47  56.5593  11.1719  9.45132  14.3474  5.69982  5.67961  17.7313  22.911  8.68709  35.1328  12.5305  37.6378  14.0519  0.576669  0.00103878  0.000442424  0.00024054  0.0300794  5.9609e-05  4.73862e-05  6.28889e-06  2.47825e-05  5.30499e-05  7.10921e-05
2  0  5.0213  5.55549  25.2746  7.53264  31.8064  8.56848  3147.95  58.0533  52.7219  12.567  11.9392  6.16194  7.82554  16.7288  46.2187  10.4988  49.2374  11.2547  33.2998  11.049  0.52433  0.00056051  0.000954246  0.000549457  0.0301702  0.000281303  3.94323e-05  8.66503e-06  4.99942e-05  7.43476e-05  6.28981e-05
3  0  8.2717  5.15262  17.4626  5.75437  27.3544  7.04549  3305.22  58.2722  5.57239  9.34168  13.397  6.41167  4.97104  15.1469  21.0558  8.12445  13.2434  9.57193  6.47285  9.18871  0.493625  0.000923342  0.000659301  0.000472548  0.0316776  2.97321e-05  4.42471e-05  5.50432e-06  2.27758e-05  1.99973e-05  1.22262e-05
4  0  8.23635  5.36795  11.27  5.62394  27.3677  6.56965  3235.73  58.0991  10.6569  8.6112  14.4369  6.09062  1.33919  16.498  3.60967  7.10448  25.1079  9.85338  1.93928  8.49035  0.495309  0.000919396  0.000425501  0.000472779  0.0310115  5.68608e-05  4.76818e-05  1.48285e-06  3.90453e-06  3.79124e-05  3.663e-06
5  0  13.6691  5.43413  14.1063  5.63867  17.5192  5.83474  3345.33  58.612  3.8614  10.109  4.50155  5.96105  16.9991  18.2593  3.33684  7.17713  16.5328  8.72586  0.817956  9.70044  0.480788  0.00152584  0.000532585  0.000302645  0.032062  2.06029e-05  1.48676e-05  1.88227e-05  3.60942e-06  2.49642e-05  1.54499e-06
6  0  17.0341  5.49888  10.8418  5.69942  19.568  7.14981  3342.03  58.4774  6.73063  9.34422  2.47927  5.67174  20.6421  17.0122  20.8908  7.75603  9.74794  7.56929  24.8292  10.0001  0.483253  0.00190146  0.000409334  0.000338038  0.0320304  3.59119e-05  8.18845e-06  2.28565e-05  2.25973e-05  1.47192e-05  4.68985e-05
7  0  14.1311  5.61918  18.7418  5.80406  28.302  7.01946  3374.04  59.287  10.2895  8.76549  1.8974  5.86857  6.54965  14.8734  17.3501  7.39534  5.39339  8.39198  5.73452  9.12443  0.479129  0.00157741  0.000707597  0.000488919  0.0323371  5.49007e-05  6.26668e-06  7.25227e-06  1.87673e-05  8.14392e-06  1.08316e-05
8  0  12.5224  5.37203  11.9139  5.64763  18.3991  6.49493  3439.75  59.3586  30.6935  11.4109  9.64435  6.50508  3.90064  17.2147  2.43028  6.9583  2.1854  8.87099  1.41808  9.31933  0.439695  0.00139783  0.000449812  0.000317845  0.0329669  0.000163768  3.1853e-05  4.31909e-06  2.6288e-06  3.29991e-06  2.67853e-06
9  0  12.1816  5.5043  17.9374  5.86684  28.1869  7.69248  3333.1  58.702  39.2098  12.4314  1.20466  5.76858  2.79445  16.9046  8.99347  6.94243  16.8742  9.13861  9.18087  9.37047  0.462373  0.0013598  0.000677229  0.00048693  0.0319448  0.000209208  3.97872e-06  3.09423e-06  9.72812e-06  2.54798e-05  1.73412e-05
10  0  12.7301  5.50014  13.0525  5.99431  13.9856  6.33549  3454.39  59.5075  59.8546  13.5431  4.17556  6.12166  6.67278  18.0793  4.46929  6.53115  10.7997  9.21086  7.07674  8.98959  0.448213  0.00142102  0.000492797  0.000241602  0.0331073  0.00031936  1.37909e-05  7.38861e-06  4.83437e-06  1.63074e-05  1.33669e-05
11  0  10.2027  5.60453  11.5442  6.22093  27.676  7.75136  3397.57  58.9944  35.7589  11.1764  8.28575  5.91  11.9577  14.4922  11.7733  6.98197  17.5318  8.93806  9.30009  8.25213  0.44202  0.00113889  0.000435853  0.000478104  0.0325627  0.000190795  2.73659e-05  1.32405e-05  1.2735e-05  2.64727e-05  1.75664e-05
12  0  12.6566  5.48346  18.6492  6.8848  31.436  8.35175  3503.34  60.3078  63.399  13.211  11.7083  6.43317  4.46086  13.9554  7.18471  6.7411  26.5479  9.10979  2.52854  7.06904  0.450961  0.00141282  0.000704101  0.000543058  0.0335764  0.000338272  3.86697e-05  4.93941e-06  7.77161e-06  4.00868e-05  4.77603e-06
13  0  8.74326  5.03043  24.5683  6.82856  36.6528  8.49658  3461.61  60.0115  97.3598  15.8778  1.10763  6.13842  10.2679  17.1903  21.9919  7.98145  11.4528  8.49627  7.23742  8.69195  0.418112  0.000975981  0.00092758  0.00063318  0.0331764  0.000519473  3.65824e-06  1.13694e-05  2.37884e-05  1.72935e-05  1.36704e-05
14  0  17.4366  6.00079  38.1108  7.39231  36.4874  8.13811  3594.26  60.7976  117.16  15.9726  1.41454  5.85457  0.649788  13.295  17.9785  7.17087  11.6355  8.21552  1.67341  7.3707  0.44521  0.00194639  0.00143888  0.000630323  0.0344477  0.000625119  4.6719e-06  7.19495e-07  1.94471e-05  1.75694e-05  3.16081e-06
15  0  23.8451  6.39159  32.7752  7.52072  23.8349  7.94633  3562.37  60.8247  163.262  17.8594  7.82565  6.52793  18.4792  15.97  18.6086  7.47765  23.6653  9.70343  17.7789  9.85199  0.470333  0.00266175  0.00123743  0.00041175  0.0341421  0.000871101  2.58463e-05  2.04616e-05  2.01287e-05  3.57342e-05  3.35817e-05
16  0  43.5196  7.93942  75.1467  10.2223  54.8685  10.3591  3445.37  60.5689  346.062  23.7131  17.3261  7.98264  6.50639  11.5755  25.3462  8.26866  3.28369  7.2533  2.04039  7.78052  0.484961  0.00485795  0.00283717  0.000947857  0.0330207  0.00184645  5.72242e-05  7.20437e-06  2.74166e-05  4.95831e-06  3.85398e-06
17  0  89.348  11.3875  224.074  17.5741  80.0478  13.6904  3390.15  61.0166  1085.73  37.8392  8.25238  9.5206  3.02585  12.5692  134.386  15.2107  34.9871  10.384  37.196  11.5294  0.502418  0.00997362  0.00845994  0.00138283  0.0324915  0.00579304  2.72557e-05  3.35046e-06  0.000145364  5.28299e-05  7.02575e-05
18  0  237.821  17.3597  534.199  26.4095  290.711  22.1981  3307.76  61.4912  2914.62  59.2544  20.6892  13.1127  11.0096  7.83422  313.982  21.0428  25.3038  10.3104  149.794  16.1228  0.602467  0.0265472  0.0201687  0.00502205  0.031702  0.0155512  6.83316e-05  1.21907e-05  0.00033963  3.82082e-05  0.000282938
19  0  262.112  19.1506  662.29  29.3153  346.893  24.4718  3269.72  61.7187  4092.09  68.8708  31.2802  15.4924  15.5327  8.49228  693.455  30.2619  30.4261  10.7798  185.486  17.8411  0.573206  0.0292587  0.0250048  0.0059926  0.0313373  0.0218338  0.000103311  1.7199e-05  0.000750101  4.59429e-05  0.000350355
