row  column  P-K  s(P-K)  S-K  s(S-K)  Cl-K  s(Cl-K)  Ar-K  s(Ar-K)  K-K  s(K-K)  Ca-K  s(Ca-K)  Mn-K  s(Mn-K)  Fe-K  s(Fe-K)  Cu-K  s(Cu-K)  Zn-K  s(Zn-K)  chisq  P-K-mass-fraction  S-K-mass-fraction  Cl-K-mass-fraction  Ar-K-mass-fraction  K-K-mass-fraction  Ca-K-mass-fraction  Mn-K-mass-fraction  Fe-K-mass-fraction  Cu-K-mass-fraction  Zn-K-mass-fraction
0  0  12.2025  4.92976  7.15358  5.71889  115.121  13.2367  4220.9  66.1174  91.4029  16.1637  5.39813  6.24388  7.50377  19.307  25.0098  8.25448  19.4185  9.07009  10.8828  8.94406  0.36883  0.00136212  0.000270084  0.00198873  0.0404536  0.000487689  1.78287e-05  8.30875e-06  2.70527e-05  2.93216e-05  2.05559e-05
1  0  17.6882  6.62082  6.9868  5.98789  86.3572  11.9576  4234.54  66.1825  63.7238  14.0608  11.4518  6.38509  2.20418  11.2318  23.7658  7.7389  7.74123  7.44267  2.8353  6.97285  0.35596  0.00197447  0.000263788  0.00149183  0.0405843  0.000340005  3.78227e-05  2.44064e-06  2.57071e-05  1.16891e-05  5.35545e-06
2  0  15.0372  5.38036  15.9096  6.32438  82.2242  11.3767  4237.39  65.9956  66.3682  13.8585  11.9076  6.10461  0.164222  13.4015  252.503  17.8184  21.3005  8.10312  25.5091  9.10875  0.378405  0.00167855  0.00060067  0.00142043  0.0406116  0.000354114  3.93281e-05  1.8184e-07  0.000273129  3.21634e-05  4.81827e-05
3  0  16.6528  5.82155  21.1817  7.10174  88.225  12.177  4196.31  65.8003  66.2981  13.8908  8.88662  5.77625  6.02412  15.1269  21.9842  7.91271  10.505  7.98748  10.3377  8.08567  0.346502  0.0018589  0.000799717  0.00152409  0.0402179  0.00035374  2.93504e-05  6.67037e-06  2.378e-05  1.58624e-05  1.95263e-05
4  0  77.7326  10.6711  68.7598  11.2702  94.2648  13.2719  4165.86  66.2275  207.874  20.5462  21.0579  7.76447  3.20626  13.3849  47.9229  9.64166  23.0221  8.82866  1.60437  7.33677  0.385825  0.00867702  0.00259603  0.00162843  0.039926  0.00110913  6.95492e-05  3.55022e-06  5.18375e-05  3.47629e-05  3.0304e-06
5  0  163.008  14.4703  148.479  15.1698  146.275  16.3991  4088.18  66.5583  502.447  28.8698  75.5893  12.5758  7.57153  15.9928  154.784  15.1513  23.7752  9.36874  26.0371  10.9263  0.426533  0.0181961  0.00560584  0.0025269  0.0391816  0.00268085  0.000249654  8.38378e-06  0.000167428  3.59001e-05  4.91801e-05
6  0  96.9496  11.3609  106.042  13.0439  159.608  16.2643  4145.19  66.2897  396.024  25.5547  167.54  15.8285  6.53538  16.2079  208.173  16.7974  14.9068  8.80921  26.9899  9.83063  0.429747  0.0108222  0.00400364  0.00275724  0.0397279  0.00211303  0.000553347  7.23647e-06  0.000225178  2.25089e-05  5.09797e-05
7  0  166.464  14.9792  194.515  17.1166  292.767  21.1886  4150.22  67.2662  769.867  33.4422  114.088  14.6298  0.257257  12.3718  264.897  18.9168  18.945  8.35388  44.5128  10.5213  0.404199  0.0185818  0.00734395  0.00505756  0.0397761  0.0041077  0.000376806  2.84854e-07  0.000286536  2.86066e-05  8.40777e-05
8  0  172.489  15.3358  183.632  16.9949  309.822  21.94  4029.8  66.6119  846.215  35.2384  180.799  18.1833  1.38524  12.4128  231.771  17.6006  5.23935  7.93143  47.8753  11.6812  0.474321  0.0192543  0.00693304  0.0053522  0.038622  0.00451506  0.000597136  1.53384e-06  0.000250703  7.91132e-06  9.0429e-05
9  0  128.809  13.5651  133.38  14.4239  240.674  19.5  4063.6  66.5324  628.029  31.1789  678.21  29.3012  0.684952  12.0689  482.429  24.2748  20.0008  9.3299  114.995  14.2721  0.597287  0.0143785  0.00503579  0.00415765  0.0389459  0.00335091  0.00223997  7.58431e-07  0.000521837  3.02008e-05  0.000217208
