row  column  P-K  s(P-K)  S-K  s(S-K)  Cl-K  s(Cl-K)  Ar-K  s(Ar-K)  K-K  s(K-K)  Ca-K  s(Ca-K)  Mn-K  s(Mn-K)  Fe-K  s(Fe-K)  Cu-K  s(Cu-K)  Zn-K  s(Zn-K)  chisq
0  0  16.4672  8.43675  3.63975  8.938  592.375  27.4005  10963  106.85  713.143  35.0411  0.712533  7.56484  32.7062  21.3979  5.99958  10.8284  31.8014  13.9889  1.30042  10.9298  1.00283
1  0  27.8122  12.4972  49.6647  14.4687  966.266  35.6972  21822.2  150.159  1044.8  44.3277  13.6624  13.0363  36.894  32.1815  14.5142  14.3835  17.108  17.8103  2.08523  17.0835  1.24705
2  0  29.9299  12.7388  50.037  14.712  1043.69  36.7366  22180.5  151.124  1010.2  42.7913  28.5406  11.9237  6.60896  27.7404  109.467  17.8076  81.901  20.787  1.62225  16.8085  1.24852
3  0  21.198  12.6784  85.0764  16.1929  892.17  34.7005  22072.4  150.833  866.967  41.4811  49.4319  13.7216  0.799576  27.8747  43.905  16.1077  103.643  21.4761  71.6535  19.2538  1.39529
4  0  30.5884  12.5793  57.0338  14.9109  915.5  34.9177  22284.9  151.672  866.757  40.9645  15.2987  11.7868  18.1953  29.5435  19.3052  15.063  31.403  18.0409  5.1607  16.7714  1.15661
5  0  31.6731  12.7409  45.8212  14.3156  919.483  35.0519  21878.4  151.019  1005.02  43.5884  213.056  20.1385  26.5543  33.0625  64.346  17.5726  70.4172  19.8008  44.6004  18.2556  1.18818
6  0  49.2809  14.7455  77.2416  17.2874  2140.75  51.6249  21554.5  153.484  2848.73  65.5003  213.633  22.7681  21.0872  26.5107  28.186  16.2295  76.9793  20.9354  32.0372  19.0888  1.16724
7  0  26.9347  12.5341  25.9313  13.534  961.953  35.9614  21935.4  150.823  1109.91  47.4819  0.711517  12.2866  17.5348  33.0374  88.9808  18.1959  57.7216  19.5269  0.215295  17.1223  1.19897
8  0  35.8936  12.6945  70.013  15.4362  1164.37  38.6631  21762.7  150.402  1423.65  50.0274  44.2507  14.8667  72.8682  31.8  36.6735  17.3684  71.099  20.5886  6.66347  17.5652  1.185
9  0  33.4009  12.0731  31.7071  14.2483  1090.88  37.5306  21966.9  151.349  1208.76  46.3391  6.72141  12.5019  1.50208  30.9339  86.8032  17.9681  30.2314  17.282  1.15656  15.9978  1.27157
10  0  21.9079  12.6879  28.472  14.1816  1024.16  37.3667  21882.1  150.798  1234.9  47.121  31.1557  14.6764  16.6234  27.7639  88.2274  18.1812  38.6827  18.5708  0.833516  17.3725  1.21895
11  0  71.6434  14.7839  82.2331  17.0036  1703.63  46.4011  21751.3  152.116  2651.66  62.8637  49.5214  16.6957  4.35414  25.9627  80.7366  18.5239  26.3736  18.1839  5.98935  17.1076  1.15654
12  0  43.7159  14.2293  69.3909  17.2942  1553.98  44.8046  21720.6  152.166  2329.46  59.9041  18.3134  15.4821  18.0321  28.6288  58.5863  17.1226  90.6622  21.1834  19.7518  17.5178  1.18675
13  0  10.7735  12.7069  71.3355  16.6113  1042.02  37.5124  21832.6  151.321  1448.43  49.5453  39.8247  14.3324  53.5993  31.4383  83.7726  18.1036  23.6916  18.038  16.6567  15.8218  1.17494
14  0  9.02637  12.0011  87.1919  16.5397  943.639  35.663  21861.8  150.611  1286.03  47.4573  5.54463  11.9606  6.87605  29.3786  88.7281  17.7555  79.395  20.0716  37.6627  18.2559  1.35181
15  0  47.8648  12.9838  107.651  16.3067  369.27  24.0911  21963.3  150.872  399.276  32.5002  34.9819  12.2744  6.49976  36.041  226.931  22.2768  39.3869  19.0005  3.66037  18.1762  1.17529
16  0  24.2246  11.7489  78.4736  15.6044  463.374  26.3872  21932.9  151.078  537.442  35.537  11.4103  10.8235  23.4131  28.6772  89.3314  18.1593  29.9634  18.3715  16.1501  16.903  1.29019
17  0  29.3604  12.8964  54.3114  14.2791  655.391  30.3507  21878  150.279  791.401  40.7876  19.0754  13.2936  40.8296  43.9083  51.2163  18.5735  73.2087  22.29  2.19433  19.872  1.22428
18  0  829.37  35.5144  1545.72  47.2375  1917.16  52.8878  20604.1  150.166  5545.07  87.1969  798.09  38.8421  14.5179  27.2298  5526.45  80.2698  93.8675  23.8918  299.613  29.3903  1.19171
19  0  974.891  38.139  1968.47  52.5717  2516.15  59.7161  20820.5  151.76  6364.49  92.7401  907.442  41.0856  23.3588  25.5526  7079.93  89.781  66.6261  23.477  357.984  30.2096  1.05421
20  0  645.005  32.0923  1506.15  46.4112  1877.75  52.0946  20868  150.924  5297.94  85.1663  699.451  36.3743  31.2383  25.6481  7404.99  91.1956  100.788  23.1264  261.139  27.8121  1.11015
21  0  32.8415  12.2461  128.81  16.7685  310.267  22.4822  22050.5  150.502  390.672  31.7908  52.103  12.5951  51.2508  39.9404  162.192  21.6956  42.7181  20.0853  3.79561  17.2365  1.20087
22  0  802.915  35.1912  1623.91  48.3121  2177.69  55.8016  20497.4  150.225  6444.34  92.8965  1069.92  43.2378  30.7044  24.7233  8420.88  96.7881  111.879  24.5626  313.778  29.1627  1.25982
23  0  77.6932  15.2491  252.469  21.8861  409.253  26.0219  21167.7  148.177  1008.12  43.6606  190.425  19.8955  2.64991  35.3023  901.827  37.022  73.3041  20.8003  23.45  19.5014  1.29827
24  0  359.833  24.4956  855.179  35.1888  1282.15  42.598  21080.7  149.709  2994.38  66.3484  451.856  29.4824  7.47506  30.7551  6123.1  82.8839  7.92021  20.2467  178.593  25.2855  1.40692
25  0  245.095  22.4125  683.928  33.3792  1024.44  39.6969  20676.7  148.856  3828.62  73.6971  517.466  32.3482  1.23938  27.7308  6570.68  85.9975  69.9497  21.5322  186.376  24.6979  1.18934
26  0  288.209  23.6578  769.957  35.0785  1113.1  41.2982  20641  149.24  4756.32  80.7074  808.088  37.4874  14.1  27.4319  6317.9  84.6851  62.6925  22.2288  189.785  25.4777  1.1367
27  0  173.917  18.9682  401.657  25.7483  473.983  28.1217  21376.4  149.473  1751.41  53.1429  204.018  21.4682  49.7577  35.6606  1156.41  40.9427  2.02701  19.2773  6.6642  19.031  1.23585
28  0  316.071  23.6471  563.739  29.9659  581.785  31.3169  21161.2  149.468  2229  58.8561  157.896  21.2173  50.7173  35.5255  620.822  32.2357  61.0829  21.45  78.8183  22.388  1.14912
29  0  314.475  24.3691  812.47  35.1657  1007.19  39.2705  21097.7  150.247  4120.76  75.3248  507.935  31.1985  8.48105  34.0481  3715.64  66.7918  68.0156  22.0714  188.973  25.655  1.11895
30  0  56.0869  12.8352  110.627  15.5512  252.432  20.2174  21221.2  147.599  266.703  28.348  19.6103  9.2859  15.3993  36.1118  51.8266  17.315  28.0031  19.2786  7.7479  19.1291  1.12711
31  0  3.98674  13.4432  60.3485  18.264  2247.64  52.9654  21734.9  153.843  3415.53  69.2318  10.2891  16.973  22.7916  28.5335  97.8223  20.1023  25.047  20.6588  35.1706  17.4526  1.22248
