row  column  P-K  s(P-K)  S-K  s(S-K)  Cl-K  s(Cl-K)  Ar-K  s(Ar-K)  K-K  s(K-K)  Ca-K  s(Ca-K)  Mn-K  s(Mn-K)  Fe-K  s(Fe-K)  Cu-K  s(Cu-K)  Zn-K  s(Zn-K)  chisq
0  0  258.06  21.5102  787.727  33.5856  530.537  29.9809  15133.1  127.807  4749.49  77.4757  128.442  21.0747  17.1073  26.6049  692.743  33.8249  31.5263  18.2783  96.7888  19.8746  1.15813
1  0  918.327  36.6166  2527.6  56.9877  736.423  38.4106  14831.9  129.187  14698  129.608  216.043  31.4872  29.3687  18.7741  2211.1  55.9379  120.724  22.4444  655.45  33.6672  1.08407
2  0  704.51  32.9349  2021.71  51.2075  684.915  36.1208  15038.3  129.349  12265.1  118.823  158.824  27.2217  22.8073  18.942  2113.63  54.7328  89.7353  19.9409  411.015  28.4337  1.1351
3  0  942.904  37.6822  2551.01  57.4554  846.947  40.0589  15229.4  130.979  16193.9  135.438  166.887  29.7807  8.88446  17.6903  2437.61  58.5824  127.688  21.782  541.369  31.533  1.12467
4  0  199.274  19.0684  554.383  28.295  258.064  22.4919  15300.2  127.26  2732.28  60.5809  62.5628  15.9598  4.67275  25.4886  876.095  34.542  28.085  15.7241  65.6663  17.6101  1.15009
5  0  975.231  37.2273  2548.43  56.6967  697.553  37.1842  15302.2  130.655  13656.2  125.121  224.96  30.3314  27.9602  18.2003  2623.61  59.3046  98.8339  21.0223  561.191  31.5392  1.22118
6  0  807.039  34.5331  2033.01  51.571  663.852  36.249  15379.6  130.643  12619.5  121.394  75.2997  26.3116  57.4438  18.5617  2043.43  52.1844  75.2135  20.6746  398.074  28.1503  1.15081
7  0  756.204  33.4056  1812.1  49.6702  576.573  34.1442  15246.4  130.034  10961.7  112.869  110.376  26.0188  37.7255  19.4397  1464.01  45.9646  104.452  21.0206  323.585  26.0575  0.999777
8  0  733.412  33.1665  2066.37  51.6597  721.306  36.7771  15116.8  129.611  11382.5  115.206  215.471  28.7862  44.5218  19.7457  3622.81  67.6283  89.5982  21.9175  365.915  28.6369  1.19082
9  0  1049.43  39.803  2625.97  58.0184  704.037  38.0238  15069.4  130.163  15411  132.512  193.528  30.9825  36.5033  18.6776  2866.18  61.9377  119.262  21.5025  598.791  32.4241  1.16764
10  0  227.567  20.3209  570.144  29.0783  262.791  23.2999  15497.6  128.339  3180.94  64.8119  24.0423  15.0819  43.0795  26.9702  479.262  29.0109  24.2881  17.752  102.955  19.9963  1.17953
11  0  1206.46  42.2119  3279.19  64.6188  860.858  41.9513  14846.7  130.417  19106.4  147.871  191.793  34.218  40.0467  18.2445  3020.24  62.6169  218.679  25.2881  728.015  35.2423  1.26059
12  0  1070.21  38.6195  2666.22  58.0125  813.601  39.0767  14993.7  132.033  15263.9  131.534  172.068  29.1715  53.3322  17.8374  2653.97  57.846  142.062  23.5546  557.012  31.5317  1.30961
13  0  811.482  34.498  2121.84  52.2399  647.538  35.5284  15349.9  130.622  12695.3  120.961  181.723  28.2775  30.7128  18.8718  1902.21  52.1815  94.58  20.9936  414.713  29.4099  1.15393
14  0  869.546  35.9928  2410.74  55.6191  602.806  35.4543  15133.3  129.817  12113.2  118.427  145.414  27.9977  4.59675  17.6732  2684.34  59.8025  180.503  22.8475  582.163  31.6244  1.15401
15  0  1054.53  38.7931  2937.24  60.7497  789.541  39.3628  15010.7  130.058  15985.7  134.851  215.6  32.468  31.7988  18.0214  3084.8  63.8278  164.574  23.844  607.932  33.3696  1.1885
16  0  1240.6  42.4215  3470.05  65.8797  905.172  42.045  15244.8  131.587  20058.7  150.137  232.019  34.6235  72.6642  19.8575  4285.98  73.7561  142.43  23.889  842.753  37.3713  1.20263
17  0  194.528  19.6273  682.612  31.4536  253.644  23.3828  15623.5  129.029  3570.85  68.3189  39.9764  16.8424  2.4176  28.1463  748.074  34.081  68.6237  18.4164  132.238  20.3507  1.16791
18  0  1142.19  40.017  3039.27  61.6765  595.168  36.236  14951  129.876  16784  137.619  197.639  31.0495  27.9686  17.3006  3009.04  63.1318  188.991  24.1383  677.115  34.1616  1.21417
19  0  1076.08  39.171  2886.83  60.3043  679.914  37.6631  15115.6  130.387  17521.5  141.349  204.089  32.3372  93.4969  18.9822  3249.22  64.329  162.75  23.4276  612.925  32.9679  1.27223
20  0  174.992  18.1554  590.324  28.8416  169.531  20.1338  15798.7  129.134  2719.98  60.6288  44.6714  16.1044  3.22157  28.29  1132  39.4995  39.3308  17.5517  88.6751  19.1759  1.20086
21  0  725.092  32.8461  2057.73  51.1915  570.909  33.7599  15300.5  130.284  10562.4  111.218  139.473  26.1734  58.6924  21.5096  2413.57  57.3093  108.562  21.9335  484.143  30.5514  1.23092
22  0  696.151  32.4394  1804.41  48.5756  543.294  33.1494  15302.9  129.705  8618.19  101.673  230.731  27.57  1.00077  20.4952  2610.03  58.1218  89.8343  20.8683  361.526  27.2439  1.22037
23  0  723.731  33.1047  2143.42  52.3217  688.448  36.1164  15235.5  130.104  9835.48  107.858  157.042  26.5918  36.0975  20.6152  2761.99  59.5556  122.373  22.3916  498.787  31.1589  1.28137
24  0  544.815  29.4046  1698.86  46.8723  488.38  31.6027  15540.9  130.426  7975.9  97.8563  157.368  24.8747  16.1901  20.7865  4222.48  70.6592  145.383  23.0636  583.924  32.3255  1.04343
25  0  1183.73  40.7696  3061.26  61.8058  750.228  38.7437  15260.7  130.783  12644.8  122.076  167.828  30.2844  71.279  19.5102  3474.65  66.1779  159.205  24.9583  696.673  35.3429  1.21182
26  0  58.0188  12.5054  116.336  15.7203  157.943  17.4473  16117.3  129.049  608.839  34.4535  6.47393  8.28452  23.9032  32.6859  128.424  18.88  0.601897  15.793  10.7149  15.6078  1.08657
27  0  10.8079  10.3947  100.418  15.2009  170.562  17.8594  15986.9  128.77  507.317  32.6603  0.30412  7.98173  10.0709  27.3238  81.8453  16.7803  13.3756  14.9044  11.3667  15.318  1.10613
28  0  14.7414  10.7384  54.3057  13.7094  246.357  20.2986  16026.6  128.689  573.075  34.668  0.776348  7.25862  3.59715  26.2237  38.4877  15.1918  60.3079  17.859  9.39977  14.418  1.17799
29  0  19.7288  10.45  67.8195  13.7898  310.862  21.7789  15966.5  128.608  518.261  32.9906  19.559  7.74492  41.2229  32.3519  75.9968  17.0253  41.9594  17.6179  54.5521  17.4517  1.23823
30  0  14.8852  10.459  66.8737  13.5641  254.848  20.2252  16140.3  130.617  401.497  29.6275  10.8268  9.58062  17.1238  28.6542  33.9204  14.2429  42.8718  17.085  2.52345  13.9558  1.0277
31  0  5.84788  8.71729  36.6913  12.1659  238.188  19.6889  15691.3  127.163  512.27  32.6627  15.3475  7.52333  41.9932  39.2183  25.636  15.5742  49.8291  19.1771  14.854  17.8018  1.21813
32  0  13.0111  9.86106  66.0005  12.9427  328.217  21.804  16077.2  128.801  459.954  30.4994  11.1099  8.26501  49.9282  29.9518  59.5024  15.2842  18.7339  15.6078  11.7467  15.0172  1.12052
33  0  30.434  10.515  48.6518  12.5691  304.395  21.5062  15826.2  127.359  425.689  30.7118  9.82433  7.89813  51.7332  27.3912  50.662  15.204  46.1005  16.4369  37.0194  15.8444  1.12524
34  0  24.7346  10.6124  62.9929  13.4157  442.439  25.0094  15667.1  127.25  682.67  36.0282  4.43412  9.7299  25.942  31.1593  45.3265  14.7977  41.8085  16.7473  19.8187  14.9247  1.18305
35  0  34.3963  11.1886  60.428  13.5742  738.433  31.243  15528.5  127.074  936.377  41.3273  4.53188  10.299  25.7049  29.9886  26.6679  14.3919  6.71396  15.5141  4.92748  16.1822  1.1561
36  0  6.53032  9.72222  42.4796  12.5886  565.599  27.6006  15773.6  127.351  671.751  35.0927  37.9687  11.3337  13.2271  28.8609  11.5699  14.0178  22.1748  15.1093  15.5771  14.5637  1.19615
37  0  0.394962  8.89788  46.0664  12.7817  802.543  32.1431  15566.5  127.151  772.665  38.1035  38.0977  12.1341  15.3512  26.6228  24.2138  14.116  16.4992  15.5105  18.925  15.832  1.15179
38  0  27.0619  11.844  110.746  16.8495  1300.65  40.4637  15623.9  129.499  1435.4  48.2623  252.09  22.1409  1.40793  23.4252  44.4881  14.9142  37.2969  16.2068  10.9849  15.2238  1.14026
39  0  10.0451  9.71626  21.6683  11.4025  935.154  34.3457  15818.9  128.431  847.537  39.0304  34.662  13.0894  50.9067  32.0514  46.0039  16.0032  58.2468  19.5703  1.20048  16.7949  1.2766
40  0  9.99201  9.39302  54.5392  13.6854  966.409  35.0602  15714.9  127.883  850.173  39.2689  40.2393  13.1856  38.5185  30.6121  71.5821  17.0078  0.732471  17.2596  15.6185  18.0574  1.21083
41  0  7.4664  8.70789  25.6155  11.6466  974.302  34.8469  15536.1  131.284  858.707  39.5588  30.6453  12.5756  6.35625  25.6482  35.5961  14.2613  13.2952  16.2459  6.27711  14.5839  1.19054
42  0  21.4077  9.66844  61.1497  12.9703  1148.13  37.5892  15556  127.171  1098.43  42.9622  3.94053  10.2364  16.5671  33.6691  37.8673  16.2271  37.6876  19.5153  18.0676  18.9999  1.13259
