row  column  P-K  s(P-K)  S-K  s(S-K)  Cl-K  s(Cl-K)  Ar-K  s(Ar-K)  K-K  s(K-K)  Ca-K  s(Ca-K)  Mn-K  s(Mn-K)  Fe-K  s(Fe-K)  Cu-K  s(Cu-K)  Zn-K  s(Zn-K)  chisq
0  0  88.5481  18.5847  185.357  23.0781  1435.78  44.6888  27230.6  170.615  5335.24  88.5477  38.568  20.6068  19.7684  32.9872  84.8595  21.1351  40.4237  22.1059  21.9235  20.3208  1.19327
1  0  59.287  11.7089  113.083  15.3569  646.744  29.7886  13715.2  120.891  2270  56.2779  36.8523  15.3408  4.54395  21.7811  136.007  18.1158  47.6737  16.0447  1.46215  12.5727  1.18825
2  0  67.7705  13.2459  98.6938  15.9272  723.609  31.3678  13689.7  122.178  2667.14  61.4418  34.0247  15.2338  62.1835  24.1342  42.0521  15.1925  5.47346  15.0751  1.11713  14.5666  1.11708
3  0  193.615  18.3913  606.787  29.2817  517.405  28.3959  13667.7  119.973  1213.51  44.3513  60.2484  15.223  15.2665  31.3231  1367.85  41.657  0.427931  15.6696  79.8432  19.1407  1.17982
4  0  685.04  31.5928  1823.83  48.127  735.683  35.3784  13012  119.238  2760.01  62.4182  198.812  23.2068  33.0193  22.6856  3448.47  63.214  138.292  21.9273  473.267  29.5325  1.23558
5  0  27.0703  10.1759  37.9611  12.0797  183.374  17.3387  13826.6  118.861  249.157  25.1784  77.5095  12.4232  16.2907  26.8842  107.244  17.443  37.1228  16.0219  26.4378  12.6466  1.24637
6  0  597.541  28.763  1418.19  42.3174  713.498  33.5683  13291.3  119.396  1812.08  52.5247  264.844  23.1686  35.9488  25.6388  2046.35  49.8706  91.3324  19.908  339.926  26.5177  1.17368
7  0  482.341  27.0908  1411.94  42.7566  653.502  33.2664  13556.4  120.938  2073.53  56.1765  720.331  33.3064  39.2249  26.7425  2012.99  50.1261  145.646  21.8882  355.186  26.3963  1.23174
8  0  389.702  24.2941  791.572  33.0239  447.113  27.6649  13300.6  118.753  1259.89  45.3261  339.485  23.9485  39.3131  29.7916  2281.03  52.2565  69.4556  18.6107  119.543  19.5286  1.26352
9  0  644.748  30.2065  1583.41  45.0928  938.641  38.1792  13155.3  119.7  2817.56  63.2057  552.43  30.7519  21.0225  24.741  2558.3  56.0566  135.95  22.1157  390.577  27.6891  1.21881
10  0  807.135  34.16  1899.82  49.903  1267.09  44.1282  12792.5  119.401  5695.75  84.4942  134.772  24.0679  8.36733  20.3054  3083.93  60.6915  95.84  20.9845  463.549  29.5234  1.16188
11  0  65.5002  12.3805  213.706  18.3277  237.815  19.6606  13760.6  119.243  707.975  35.6729  30.4567  10.7883  0.146457  27.4559  194.552  20.1304  12.0211  14.288  1.83627  13.0722  1.12838
12  0  541.894  29.2922  1580.23  45.9562  1150.84  42.4557  12970.8  120.163  6977.29  92.36  135.911  25.5024  76.77  23.2595  3199.59  62.9097  139.791  22.2249  363.398  27.6682  1.1137
13  0  26.236  12.1383  99.3409  16.5249  797.609  33.0856  13416.9  119.67  2963.17  63.0189  20.8557  14.6283  0.38217  26.6786  108.23  18.9495  28.2233  17.7149  16.5496  16.2771  1.24886
14  0  64.6596  13.1406  78.4612  15.2919  793.939  32.6942  13474.2  120.146  2838.62  62.0068  32.4184  15.5862  1.89745  22.1564  91.9857  16.9954  5.28088  13.075  8.01992  13.4663  1.28592
15  0  30.3908  11.6468  56.1463  14.4079  524.94  27.852  13729.3  120.701  2128.48  55.475  17.8038  13.7484  4.88258  22.9098  47.4291  14.5656  47.3842  16.6184  18.6299  14.9114  1.04112
