row  column  P-K  s(P-K)  S-K  s(S-K)  Cl-K  s(Cl-K)  Ar-K  s(Ar-K)  K-K  s(K-K)  Ca-K  s(Ca-K)  Mn-K  s(Mn-K)  Fe-K  s(Fe-K)  Cu-K  s(Cu-K)  Zn-K  s(Zn-K)  chisq
0  0  3.48566  7.72384  16.1698  10.4687  784.322  31.5366  10830.3  106.669  931.729  39.0643  24.2513  12.0459  11.6606  18.5971  18.8241  11.6681  16.4008  14.4772  52.2794  16.5623  1.10551
1  0  2.48032  9.05688  32.8777  12.9013  1153.27  37.9868  10790  107.925  1633.82  48.3586  8.49965  11.0431  14.8327  18.6246  7.40222  11.8944  18.7692  15.1742  10.2007  14.0587  1.26329
2  0  4.49488  6.83522  38.0052  11.5279  766.535  31.0068  10949.9  107.745  1220.09  42.5214  35.4866  12.742  45.9651  27.1627  41.6873  14.3012  8.74515  14.7957  18.4286  16.3994  1.06544
3  0  2.69475  7.44889  11.0334  9.92943  501.105  25.6272  10997.3  107.135  706.644  34.5284  38.3191  11.4992  7.82224  21.577  10.7344  9.96201  43.2516  15.1553  10.5258  13.4252  1.07326
4  0  12.7652  7.63374  22.5385  9.76626  470.328  25.0103  11195.6  107.627  572.747  32.3308  0.378463  8.71386  12.0623  21.9622  22.2734  11.6371  35.7923  13.8474  8.12386  11.962  1.13563
5  0  15.8965  8.4623  32.2388  10.9562  496.696  25.7193  11141  107.617  703.988  35.4785  17.6121  11.5158  4.24204  20.4208  8.69021  10.7016  16.6213  13.9502  1.98926  12.8552  1.2061
6  0  14.2552  8.20439  37.5519  10.9847  499.647  25.6775  11079.1  107.048  628.47  33.1046  9.81578  9.96097  60.0885  22.5703  5.33254  10.5333  66.3984  16.3572  11.8544  10.4895  1.18149
7  0  1.94295  8.4114  34.344  11.7442  538.647  27.0126  10910.2  106.743  828.238  37.4717  0.38443  9.40382  0.732178  19.1614  10.4172  10.8866  18.1091  14.1764  0.45832  13.1877  1.00988
8  0  2.01322  8.01396  31.9277  11.1822  488.027  25.6189  10881.9  107.027  770.585  36.0534  9.78278  9.87534  47.0893  22.6084  3.94252  10.4892  21.9519  13.7614  1.55368  13.029  1.12293
9  0  18.2137  9.00302  65.4525  13.0974  906.145  33.7749  11075.4  108.475  1722.84  50.3276  1.9439  11.2468  0.803246  20.1828  6.32964  10.5163  39.4092  15.4363  9.65639  12.3215  0.956704
10  0  20.9089  8.41791  51.9826  11.4651  575.4  27.1221  11107.8  107.607  1005.79  39.6835  1.27386  9.35275  19.7943  21.6698  53.0002  12.8204  4.69415  13.6604  10.5561  14.6439  1.22113
11  0  21.0537  8.81541  16.4116  9.3579  569.393  27.1239  11261.3  108.424  795.556  36.5479  7.09856  9.5733  3.10386  23.5223  1.83927  10.8532  44.3248  15.8609  34.4289  15.4078  1.01566
12  0  5.89644  7.84764  40.7172  11.5788  675.423  29.5594  11194  109.202  1282.05  44.5051  8.0821  11.4825  8.62887  19.3613  6.84183  10.9733  16.0313  13.9546  15.7941  13.1919  1.13403
13  0  50.3071  11.1219  38.6306  11.8926  585.742  27.7455  11059.2  108.416  1131.06  41.6529  46.377  12.939  40.3065  20.1587  3.7366  10.0809  37.3448  15.2151  26.6685  14.3223  1.13549
14  0  16.5356  8.77816  34.3407  10.9969  502.797  25.888  11101.8  110.867  998.765  39.3297  0.754917  9.73459  2.32872  21.1781  2.96649  10.4487  2.8525  11.8248  11.0145  12.9683  1.15331
15  0  41.818  9.9248  56.0711  12.2273  634.388  28.9744  11284.2  110.077  1264.65  44.0421  95.9976  14.9654  0.997385  19.1671  10.579  11.8077  22.5714  14.7319  12.3412  13.7754  1.23303
16  0  31.4763  10.4644  43.2386  12.4456  617.681  28.8286  11556.6  110.608  1345.74  44.8105  10.3879  11.4436  20.6182  21.514  19.5491  11.3745  10.2011  14.8298  28.3714  13.1129  1.14183
17  0  16.7932  10.0886  22.8  11.7052  587.718  28.2642  11445.2  109.727  1250.57  43.6833  13.2472  11.1741  27.4176  21.8665  36.8869  12.2083  36.4254  14.5613  31.7296  14.9741  1.21821
18  0  41.1247  10.7666  61.232  12.837  637.314  28.8289  11405.1  109.87  1323.35  44.4391  3.26503  9.95469  13.1444  22.8801  20.5933  12.4343  60.3053  17.633  15.3022  13.5113  1.21094
19  0  57.1085  10.9969  68.1819  12.7407  570.257  27.6955  11559.1  110.3  1311.94  44.4471  108.633  16.5401  22.9413  21.1416  38.8398  12.314  48.2114  15.8283  25.6329  14.7665  1.11791
20  0  18.3907  9.87737  57.8557  13.2695  585.18  28.1418  11726  111.739  1322.27  44.5495  10.4632  9.34718  6.93063  19.0387  19.5826  10.7646  45.6284  15.0974  4.01523  12.7351  1.14137
21  0  22.4152  9.97088  37.3344  11.8156  546.467  26.967  11338.7  109.244  1083.38  40.7534  3.98179  10.0381  48.2647  23.919  2.7415  10.8023  108.677  17.8156  36.3131  14.7849  1.23134
22  0  51.6292  11.3589  53.6824  12.506  581.803  27.923  11575.3  110.763  1293.02  44.6083  9.12116  11.2164  8.87743  28.0861  2.24716  12.6129  16.9176  15.6434  38.1517  15.3061  1.0856
23  0  23.7679  8.70329  40.2055  10.8022  391.28  23.1173  11784.7  110.474  736.567  35.4844  0.369707  8.92122  10.7637  22.7789  0.99085  10.2192  41.8898  14.522  41.5743  14.7015  1.15338
24  0  29.7516  10.5354  45.3738  12.4603  482.235  25.7386  11439.5  111.445  931.494  39.5747  7.14997  9.37596  3.31114  21.9496  12.4593  9.51927  39.8714  15.0174  6.30118  13.163  1.05127
25  0  16.9351  8.81496  47.4519  11.478  319.108  21.2134  11471.9  108.898  581.142  32.2214  0.402263  8.55093  0.189176  27.7087  7.39184  10.9309  46.4328  15.7516  30.5784  14.8017  1.10546
26  0  34.4621  10.2689  52.22  11.226  260.081  19.2517  11603.9  109.171  336.027  27.7991  0.739162  8.0964  10.7734  24.8571  7.14998  10.7183  19.8066  13.9363  6.92084  13.043  1.09731
27  0  20.3336  8.74382  46.9991  10.9161  172.487  16.4492  11507.9  108.171  111.989  19.9466  4.95191  6.77519  43.9401  34.2333  26.4603  13.4511  32.3193  16.0495  19.233  14.1334  1.09639
28  0  5.8382  7.88288  61.0967  11.9239  179.696  17.0634  11455.6  109.792  257.408  25.7964  0.384446  7.86313  4.47414  21.7469  0.345021  9.53025  20.2823  13.5928  6.63656  12.7782  1.20283
29  0  14.4641  9.33698  51.4337  11.76  162.016  16.3964  11575.5  108.78  147.473  21.1602  10.5301  7.63574  16.9117  21.8589  11.4491  11.3229  37.2118  14.9053  2.51741  13.2454  1.07513
30  0  9.38546  8.52018  53.2055  11.5625  128.575  15.1357  11591.1  108.752  182.149  22.9032  13.7047  8.04201  41.2215  26.0132  22.3854  12.361  10.0545  13.8563  0.897503  13.631  1.07058
31  0  196.677  18.3836  457.25  26.0168  451.45  26.7784  11212.9  112.608  1304.23  44.3778  75.5382  16.0176  10.3957  24.2795  296.77  21.8721  22.9631  14.9097  118.598  18.9783  1.0907
32  0  109.997  14.9685  251.744  20.7863  568.018  28.5733  11331.9  111.177  1044.5  40.786  104.296  16.0077  20.8577  22.8924  111.382  15.9525  54.2156  15.4153  116.723  17.8049  1.14167
33  0  10.0914  8.41532  83.8417  13.3406  192.822  17.5218  11447.2  108.462  196.039  23.2372  8.37852  7.50596  9.0504  20.6156  13.0611  11.75  17.6971  11.7468  16.4375  13.2685  1.14985
34  0  88.2935  14.5434  334.374  23.161  735.377  31.9633  11290.6  109.85  1647.73  49.056  63.6688  15.1373  14.1501  27.1763  179.082  20.3111  32.6779  16.6582  31.2597  15.9785  1.08207
35  0  46.5639  10.6343  111.6  14.4179  203.13  18.049  11623.6  109.22  284.259  25.7364  34.4555  10.0824  43.5954  29.3142  163.205  18.5514  19.6149  14.4496  2.74552  13.6557  1.08478
36  0  141.832  15.7399  281.592  20.6699  174.975  17.8612  11645  109.722  424.168  29.3544  59.2353  12.2546  12.1257  26.2304  173.88  18.9866  22.0878  14.2149  46.7  15.3829  1.04904
37  0  216.118  18.9122  494.495  26.8039  357.274  24.2378  11435.3  109.728  1299.67  44.0698  97.6938  15.2849  16.6121  20.8196  160.837  17.8244  75.3374  16.3278  92.4749  17.2431  1.10562
38  0  539.85  28.0871  1253.34  40.7276  736.494  34.4729  11105.4  110.381  2879.66  62.7144  226.585  24.1961  61.1333  21.2629  432.961  26.5626  113.117  19.7522  427.938  28.2849  1.22223
