row  column  P-K  s(P-K)  S-K  s(S-K)  Cl-K  s(Cl-K)  Ar-K  s(Ar-K)  K-K  s(K-K)  Ca-K  s(Ca-K)  Mn-K  s(Mn-K)  Fe-K  s(Fe-K)  Cu-K  s(Cu-K)  Zn-K  s(Zn-K)  chisq
0  0  47.4711  13.6869  76.5858  16.8294  2177.27  51.4446  17230.8  136.685  3132.08  66.0837  84.7228  19.1333  29.4721  22.4641  18.5521  14.6192  7.83252  17.029  7.4684  15.9605  1.14443
1  0  51.51  13.7496  94.4143  17.4603  2151.08  51.185  17791.9  137.646  3224.14  67.4396  85.5841  19.4603  9.81366  25.1742  38.6716  16.1567  10.5534  18.7304  26.1388  19.6154  1.11928
2  0  73.6822  14.9888  72.8787  17.3458  2241.64  52.5605  17829.5  138.64  3400.48  68.4483  115.129  20.0048  20.1227  22.5832  33.7238  15.5117  8.62668  17.1573  8.97307  17.2572  1.07941
3  0  49.2321  14.2532  68.8551  17.0802  2153.52  51.746  17922.9  138.398  3416.28  69.4966  81.293  19.104  14.7835  24.206  12.2199  13.2841  7.84117  16.7847  17.7069  15.1844  1.13213
4  0  46.5812  13.2876  90.9582  17.1396  2174.23  52.8259  18092.9  138.851  3256.09  67.7138  103.758  19.3186  10.8117  24.1516  8.61075  14.4382  30.2813  15.8609  22.1947  17.9151  1.18848
5  0  91.5289  15.0845  108.024  17.7654  2196.03  51.9423  18027.5  139.757  3329.31  69.0491  53.8077  17.9768  7.12677  23.3069  1.61776  14.0463  24.6426  17.6181  11.7907  16.9073  1.28253
6  0  74.0971  15.7367  88.0018  18.4858  2839.2  58.9569  17667.1  139.086  5097.01  81.8279  54.5561  21.1442  7.23641  22.269  16.2153  15.8423  44.7426  19.5083  21.5256  18.3368  1.20868
7  0  67.6307  14.772  96.0068  18.0069  2291.2  53.0077  17907.1  140.029  3848.34  72.9218  95.8754  21.2628  42.6958  22.3779  18.4598  15.3119  52.4662  19.2707  48.5388  18.4939  1.24657
8  0  64.1362  14.2965  80.3683  16.7848  1692.01  46.2585  18167.8  139.32  2760.07  63.3146  16.9744  16.2386  13.7098  25.88  6.66875  14.7035  56.1275  19.538  28.7378  18.5753  1.2204
9  0  35.7913  12.7036  67.4181  15.3916  1489.49  43.1134  18355.9  139.249  2019.96  55.4638  54.1014  15.3805  11.9717  26.1547  0.243518  13.5322  21.4682  17.199  25.6204  16.8391  1.08719
10  0  6.86655  11.1495  68.1152  15.6192  1354.46  41.6381  18227.9  138.398  1843.76  53.7864  16.4543  14.3295  44.861  25.7995  4.88838  13.9957  41.7751  17.644  26.5027  15.986  1.20576
11  0  3.66176  10.6316  75.7856  14.4167  540.109  27.3573  18553.1  140.262  770.092  37.8879  1.69362  7.9117  32.6743  31.4898  0.672786  12.4433  79.271  19.1218  24.2498  16.9136  1.31091
12  0  10.5387  10.031  94.9765  15.0271  390.929  24.125  18575.1  138.252  481.056  32.8618  240.081  21.4375  39.9993  35.8886  276.328  24.068  8.13473  16.1668  9.24731  15.6381  2.77644
13  0  21.5223  10.6651  28.2017  11.5718  240.067  19.2347  18859.6  139.053  57.9386  20.9386  1.85327  7.21427  21.119  33.1784  31.6984  14.4916  31.539  16.7141  19.5838  16.2988  1.11673
14  0  13.4098  10.4578  27.785  11.3997  202.468  18.1995  18702  137.788  79.8895  21.3528  15.0645  8.12185  6.11706  44.3862  19.9498  16.4067  80.6675  20.9591  3.61021  18.54  1.19028
15  0  23.9089  10.3126  54.1753  12.2485  251.435  19.4933  18807.1  138.1  1.82078  17.859  117.639  13.8959  4.65015  39.7134  18.0796  14.8047  59.9576  20.7497  9.59412  17.5305  1.27324
16  0  24.4119  10.6256  45.9787  12.1758  207.648  18.3455  18908.9  138.74  84.5026  21.8937  6.41061  7.15287  15.727  39.2554  32.738  15.4964  80.6001  20.9537  0.279627  17.1134  1.1474
17  0  6.125  10.2502  26.3082  11.7419  227.398  19.22  18907.8  138.317  73.9588  19.3401  15.418  7.31045  32.7021  31.5189  31.13  14.7972  56.1918  18.2854  12.5832  14.9816  1.28555
18  0  26.2909  10.9453  88.675  14.2019  189.616  18.0494  18870  139.129  113.734  22.6745  25.1349  8.5453  62.7888  40.9305  47.4346  16.5198  61.9714  18.9384  8.77237  16.3326  1.12385
19  0  39.4101  11.2547  80.894  13.8035  237.28  19.3209  18950.6  138.616  92.5428  20.779  27.9269  8.64981  6.9826  31.2264  44.8535  15.6409  51.0572  18.535  1.80969  16.0559  1.10608
20  0  31.4124  11.9032  73.659  13.6731  224.972  19.0736  18968.7  139.651  45.5813  19.3278  15.3381  8.40227  11.3876  29.7129  26.9958  14.4539  102.42  18.5495  3.39947  14.7641  1.1818
21  0  630.492  29.4605  824.021  33.8868  916.515  36.0682  18637.9  139.298  742.302  38.2398  193.666  19.7291  7.55651  30.4076  749.187  33.7351  38.8935  18.4563  92.4101  20.4709  1.21743
22  0  590.87  28.9186  813.395  33.9441  773.796  34.3461  18578.2  139.44  1172.69  45.3892  261.914  21.8022  43.086  33.6127  754.741  33.6658  64.5559  18.9536  99.0886  20.2111  1.27233
23  0  2318.33  54.8619  3491.23  66.8674  2045.07  56.0312  17470.2  139.949  4125.1  78.0322  1274.18  45.6974  9.858  18.8214  4760.28  74.2343  191.351  25.8258  795.131  37.2445  1.30855
24  0  295.086  21.6791  414.995  25.2729  378.543  24.8375  18788.7  139.254  573.696  34.788  165.253  17.1454  8.21438  31.1754  322.388  24.9013  18.486  16.0653  50.2002  18.0877  1.13703
25  0  16.5187  10.6878  101.01  14.9396  231.962  19.3236  18881.5  138.377  89.4948  21.5649  21.6029  8.81985  101.183  39.7107  65.2849  17.4016  6.22984  17.9839  17.4531  18.6341  1.1382
26  0  59.5035  12.4311  84.5222  13.9793  222.313  18.6746  19020.2  139.08  133.987  23.3034  42.4922  9.77067  24.2292  37.4811  22.5067  15.6948  47.1918  18.6087  12.9539  16.6684  1.11612
