row  column  P-K  s(P-K)  S-K  s(S-K)  Cl-K  s(Cl-K)  Ar-K  s(Ar-K)  K-K  s(K-K)  Ca-K  s(Ca-K)  Mn-K  s(Mn-K)  Fe-K  s(Fe-K)  Cu-K  s(Cu-K)  Zn-K  s(Zn-K)  chisq
0  0  13.3127  12.5421  68.7454  15.7965  1068.47  37.3177  20322.9  147.692  1157.69  45.4308  56.2004  14.7102  43.662  28.6929  18.0013  12.5536  65.132  19.5946  18.4083  17.1147  1.2262
1  0  6.28475  11.4205  64.9911  15.8653  1062.59  37.7741  20351.8  146.119  1185.45  46.2624  73.1069  15.7241  11.6526  30.099  57.7324  16.3304  25.3324  17.8107  26.6482  17.8272  1.21547
2  0  15.0119  11.4415  59.7556  14.9587  880.735  34.1244  20702.4  148.236  936.512  42.1942  70.2214  14.9939  4.84956  32.7368  40.6721  15.7352  45.3923  19.8474  41.6097  18.7637  1.18323
3  0  44.0133  12.9691  81.0748  15.4981  655.174  30.4582  20666  145.92  690.974  38.231  43.3255  13.5264  34.5005  33.2353  43.5004  16.2942  52.2795  18.9799  12.7911  16.6614  1.0696
4  0  42.0699  11.8783  62.6163  13.6343  602.903  28.5159  20712  145.931  564.554  35.6929  27.565  12.8082  2.44123  43.6966  89.6976  19.144  32.7973  20.7225  8.3757  20.3076  1.15576
5  0  26.5534  11.2729  67.524  14.2598  510.39  26.881  20775.1  146.686  564.221  35.1337  20.5074  10.9843  36.1107  41.3223  69.5599  18.0845  61.7243  20.6793  31.8332  18.8383  1.20841
6  0  148.738  17.4292  116.298  17.6522  865.417  34.3209  20829.3  147.113  1113.24  45.1882  104.949  16.3626  3.62545  31.7384  138.971  20.4163  9.14272  16.816  23.0135  17.1905  1.21687
7  0  789.994  35.0929  1125.71  42.2044  2759.58  60.967  20301.5  149.374  5897.81  88.8981  552.427  34.4122  67.6033  29.4644  2920.56  60.9478  59.952  22.8043  184.945  25.975  1.12685
8  0  97.4714  16.6211  174.687  20.3417  1172.53  39.6832  21177.5  148.864  1847.68  53.8792  84.9224  17.2765  6.87472  30.3178  501.82  29.746  22.4428  18.0283  11.5345  16.4797  1.1557
9  0  82.2854  15.8229  124.159  18.4469  1011.34  36.9191  21139.9  149.164  1608.06  51.1947  15.6173  13.1321  27.2812  29.9588  254.82  23.801  10.0948  17.829  6.08356  15.9492  1.35967
10  0  105.768  16.2238  173.06  19.7482  1235.8  40.1855  21203.4  149.078  1819.14  53.4176  52.5212  15.2615  28.5967  39.2366  543.102  31.0385  68.4169  20.8737  2.64672  18.8479  1.18039
11  0  108.09  16.6796  216.885  21.2756  1639.18  45.7672  20909.6  151.461  2279.56  58.9115  108.038  19.8284  20.5516  39.1134  1025.54  39.7759  21.9115  20.8229  40.026  20.6728  1.19157
12  0  455.802  28.3523  975.556  39.1717  3005.66  62.2127  20580.1  149.833  5508.87  86.1279  485.011  32.9418  6.05048  22.0498  12111  114.731  69.9105  24.1348  169.813  26.1118  1.26621
13  0  684.278  32.3644  935.142  38.5008  2212.74  54.768  20656.5  149.687  4576.04  79.2784  416.797  30.5088  15.5247  27.939  5055.08  76.5664  24.998  21.7889  271.861  27.4792  1.19664
14  0  1250.7  42.4035  1709.74  50.595  3534.59  68.8398  20045.1  149.608  8469.57  104.309  695.206  39.6467  16.006  21.6949  14614.1  125.6  35.0209  23.307  413.48  32.097  1.19878
15  0  1054  38.7449  1276.49  44.3315  2677.14  60.1555  20513.3  150.159  6508.73  92.5224  433.675  33.4999  5.48722  30.4577  2613.08  58.4552  43.0315  22.5562  284.385  28.8332  1.31265
16  0  1036.25  39.5017  1462.15  47.4273  3266.57  66.0693  20164.1  149.66  7079.96  96.4569  449.41  34.9421  35.2692  28.5651  4796.1  75.8926  65.34  23.9298  204.742  27.7999  1.09587
17  0  858.333  36.5012  1546.34  48.1615  3736.21  69.8023  20523.5  150.921  7244.65  97.7277  500.498  35.5227  48.6675  19.2526  19410.3  143.812  39.3442  24.2244  285.59  29.7849  1.32795
18  0  286.986  25.0883  696.108  34.9587  2677.2  58.9013  21179.9  151.478  4384.76  78.2578  212.365  26.513  2.13793  20.5872  14216.5  123.53  38.6131  22.8499  33.3077  22.8161  1.10689
19  0  45.9736  13.0489  65.0865  15.1778  703.016  31.6431  21770  149.648  814.604  39.8606  0.89817  11.825  33.528  40.3511  220.207  22.7315  82.4584  20.5954  14.7447  18.5618  1.34702
20  0  45.6133  13.926  111.694  17.5321  1085.95  37.8362  21639.3  149.938  1309.81  47.19  9.38396  12.7128  24.7885  31.8386  150.179  21.1349  49.2451  19.254  21.8392  17.697  1.26606
21  0  121.66  18.3453  149.627  20.4303  2025.15  50.3039  21705.2  151.535  3027.25  65.6303  102.067  19.9001  22.5609  29.0469  1026.59  38.7832  20.3676  19.1631  15.6868  18.5019  1.25249
22  0  542.127  31.1027  1013.85  41.0198  4871.55  77.6349  20779.1  151.9  8463.97  103.772  369.619  33.1583  8.79463  22.8021  12413.3  116.409  89.7244  25.1312  172.164  26.3982  1.19925
23  0  524.845  29.5804  559.748  32.5194  3573.16  66.7667  21413.1  153.22  6975.7  94.4928  227.328  27.5299  17.9408  28.8385  1223.76  42.7893  40.5184  21.5137  67.4557  22.726  1.20173
24  0  185.248  22.5473  518.643  32.1381  3221.59  63.8588  21197.3  151.966  5990.9  88.8878  259.65  27.1303  32.904  28.7559  1299.56  43.8531  66.8194  22.2345  38.9204  20.9811  1.11084
