row  column  P-K  s(P-K)  S-K  s(S-K)  Cl-K  s(Cl-K)  Ar-K  s(Ar-K)  K-K  s(K-K)  Ca-K  s(Ca-K)  Mn-K  s(Mn-K)  Fe-K  s(Fe-K)  Cu-K  s(Cu-K)  Zn-K  s(Zn-K)  chisq  P-K-mass-fraction  S-K-mass-fraction  Cl-K-mass-fraction  Ar-K-mass-fraction  K-K-mass-fraction  Ca-K-mass-fraction  Mn-K-mass-fraction  Fe-K-mass-fraction  Cu-K-mass-fraction  Zn-K-mass-fraction
0  0  12.0001  5.59588  10.8332  6.43007  232.328  18.0979  4413.05  68.6952  365.662  24.4144  0.3931  6.63208  7.0623  13.438  10.4484  6.87215  6.04443  7.30508  5.19547  7.18112  0.433144  0.00133953  0.000409009  0.00401348  0.0422951  0.00195103  1.29832e-06  7.81992e-06  1.13019e-05  9.12698e-06  9.81344e-06
1  0  10.8962  6.00512  12.3738  7.22629  234.249  18.8113  4477.53  69.4009  413.415  26.6909  0.872369  7.48947  7.89908  12.6235  5.91248  6.51013  7.01392  7.59147  10.9176  8.18902  0.444334  0.00121631  0.000467173  0.00404666  0.0429131  0.00220582  2.88123e-06  8.74646e-06  6.39545e-06  1.05909e-05  2.06217e-05
2  0  9.03014  5.13148  30.3097  8.43527  166.333  16.0297  4547.27  69.2117  351.764  25.5067  5.16007  7.98104  10.1874  16.8927  13.884  7.32702  2.53216  8.71546  1.2724  8.91231  0.450259  0.001008  0.00114435  0.00287342  0.0435815  0.00187687  1.70425e-05  1.12803e-05  1.50181e-05  3.82351e-06  2.40336e-06
3  0  13.4139  5.30394  12.6935  6.5503  187.35  16.494  4369.55  67.9853  375.297  25.544  7.76871  6.5059  1.07565  16.1159  40.2357  8.91203  21.0253  8.37289  0.631798  8.94757  0.448863  0.00149735  0.000479243  0.00323648  0.0418782  0.00200243  2.56582e-05  1.19105e-06  4.35225e-05  3.17477e-05  1.19337e-06
4  0  14.0596  5.98487  23.9167  7.96811  190.705  16.6405  4447.28  68.5115  299.965  22.6094  5.98708  6.46825  1.04753  12.2203  14.1107  6.64878  9.74129  7.26488  13.1304  8.08081  0.433756  0.00156942  0.000902976  0.00329444  0.0426232  0.00160049  1.97739e-05  1.15991e-06  1.52634e-05  1.47092e-05  2.48013e-05
5  0  14.4518  5.69142  16.2559  6.86523  113.398  13.4177  4625.33  70.4867  170.448  18.6905  2.16547  6.34262  2.19594  13.1591  25.3581  7.3978  15.3152  7.95869  10.0021  7.85608  0.424743  0.0016132  0.000613744  0.00195896  0.0443297  0.000909444  7.15204e-06  2.43152e-06  2.74295e-05  2.31256e-05  1.88924e-05
6  0  47.6945  7.81474  63.1946  9.93924  92.8556  12.3934  4622.2  69.2158  161.678  18.5128  3.38483  6.4499  9.92354  15.6488  23.7435  8.20382  27.1136  9.24016  17.1349  8.97146  0.403193  0.00532397  0.00238592  0.00160409  0.0442997  0.00086265  1.11793e-05  1.09881e-05  2.5683e-05  4.0941e-05  3.23651e-05
7  0  168.222  14.945  317.277  20.7838  132.436  16.2768  4420.83  68.8857  523.91  28.4995  7.47629  7.95353  4.18403  13.668  649.052  27.4386  10.342  8.81844  116.501  14.3429  0.45561  0.0187781  0.0119788  0.00228784  0.0423697  0.00279537  2.46924e-05  4.63288e-06  0.000702071  1.56162e-05  0.000220051
8  0  149.142  14.4574  380.175  22.8909  206.599  19.9203  4330.12  68.9323  805.913  34.6133  15.5033  10.6969  8.72786  14.9578  473.102  23.9632  33.3584  10.333  145.906  15.4385  0.48609  0.0166482  0.0143536  0.00356901  0.0415003  0.00430003  5.12039e-05  9.66415e-06  0.000511748  5.03705e-05  0.000275594
9  0  32.347  6.99637  67.8266  10.459  66.7329  11.2085  4497.23  68.8086  187.97  19.1934  8.40465  6.44295  4.88288  12.9022  12.5163  6.28377  8.65298  6.82608  11.5247  7.60758  0.417394  0.00361079  0.0025608  0.00115282  0.043102  0.00100293  2.77586e-05  5.40669e-06  1.35387e-05  1.30658e-05  2.17685e-05
10  0  15.7306  5.97842  12.1926  6.75073  57.4933  11.0278  4639.72  69.5174  159.27  18.7362  5.04134  5.98741  4.89001  11.8851  14.9525  6.91176  2.47742  6.81877  1.2287  7.30501  0.440085  0.00175596  0.000460334  0.0009932  0.0444675  0.000849799  1.66504e-05  5.4146e-06  1.6174e-05  3.74086e-06  2.32083e-06
11  0  9.53308  5.60643  14.5487  6.85727  91.4433  12.4848  4507.87  68.4869  188.388  19.399  0.248538  6.08454  7.61776  13.2032  41.4517  8.93655  10.6694  7.78836  9.67373  6.88486  0.458789  0.00106415  0.000549288  0.00157969  0.0432039  0.00100516  8.20864e-07  8.43497e-06  4.48377e-05  1.61105e-05  1.82722e-05
12  0  14.3999  5.8274  17.0314  7.52349  113.217  13.6485  4589.8  69.0893  194.945  20.0548  11.5141  7.05826  1.47601  12.6199  7.2297  6.2448  1.16782  6.63031  5.54771  7.6051  0.402712  0.00160741  0.000643023  0.00195583  0.0439891  0.00104015  3.80284e-05  1.63435e-06  7.82027e-06  1.76339e-06  1.04788e-05
13  0  12.7095  5.68179  16.0048  6.57773  117.138  13.3934  4654.07  69.5565  181.939  19.0796  3.28408  5.9224  1.91281  11.7437  6.90759  6.12097  0.00899706  6.74336  14.4407  8.23034  0.411027  0.00141872  0.000604263  0.00202356  0.0446051  0.000970754  1.08465e-05  2.11801e-06  7.47185e-06  1.35854e-08  2.72762e-05
14  0  17.5503  5.96054  40.3111  8.25438  148.466  14.6119  4511  68.7816  244.934  21.4974  1.96146  6.28044  13.5505  13.9843  24.8398  7.49125  3.36238  7.18268  1.1005  6.48234  0.417979  0.00195908  0.00152195  0.00256475  0.0432339  0.00130687  6.47825e-06  1.50042e-05  2.68689e-05  5.07714e-06  2.07867e-06
15  0  13.1998  5.71656  14.385  7.67527  127.086  14.6093  4629.07  69.746  305.656  23.2921  5.06256  6.81075  1.79211  13.0878  12.8765  6.84556  10.6979  8.18127  6.26746  7.99339  0.415318  0.00147345  0.000543108  0.00219541  0.0443655  0.00163086  1.67204e-05  1.98436e-06  1.39283e-05  1.61537e-05  1.18383e-05
