row  column  P-K  s(P-K)  S-K  s(S-K)  Cl-K  s(Cl-K)  Ar-K  s(Ar-K)  K-K  s(K-K)  Ca-K  s(Ca-K)  Mn-K  s(Mn-K)  Fe-K  s(Fe-K)  Cu-K  s(Cu-K)  Zn-K  s(Zn-K)  chisq  P-K-mass-fraction  S-K-mass-fraction  Cl-K-mass-fraction  Ar-K-mass-fraction  K-K-mass-fraction  Ca-K-mass-fraction  Mn-K-mass-fraction  Fe-K-mass-fraction  Cu-K-mass-fraction  Zn-K-mass-fraction
0  0  12.3193  5.45658  9.1698  6.14106  158.828  15.5316  5119.85  72.9479  72.4541  14.7044  15.7977  6.67739  21.1916  17.3079  11.9048  7.32244  1.88376  9.36753  0.776499  9.78512  0.338109  0.00137517  0.000346207  0.00274375  0.0490691  0.000386586  5.2176e-05  2.34649e-05  1.28773e-05  2.84444e-06  1.46669e-06
1  0  9.94023  5.03476  3.81331  5.16475  188.636  16.0502  5009.35  71.8148  94.0421  16.0071  29.9506  7.84551  4.59616  13.3076  9.88383  6.81449  6.7691  6.99987  5.79644  6.99832  0.362775  0.00110959  0.000143972  0.0032587  0.0480101  0.000501771  9.89197e-05  5.08922e-06  1.06912e-05  1.02212e-05  1.09486e-05
2  0  4.31982  4.86271  1.54249  5.90711  193.658  16.2559  5051.27  72.2978  77.9389  15.3253  16.7965  6.66671  4.52955  13.4963  9.68567  6.73743  8.19227  8.39443  3.82619  7.86824  0.340286  0.000482207  5.82367e-05  0.00334546  0.0484119  0.000415851  5.5475e-05  5.01546e-06  1.04769e-05  1.23702e-05  7.22708e-06
3  0  10.6116  5.17943  2.00164  5.19211  180.476  15.6957  5097.11  72.3673  27.2758  12.5663  21.2362  6.99211  7.25505  19.0778  3.47781  7.10974  0.707333  8.44136  12.0594  9.2271  0.373159  0.00118454  7.55722e-05  0.00311774  0.0488512  0.000145533  7.01383e-05  8.03334e-06  3.7619e-06  1.06806e-06  2.27784e-05
4  0  8.50344  5.25203  8.39466  6.50618  142.203  14.4421  4985.09  71.5714  48.318  13.4554  15.4948  6.68726  0.831905  18.8932  14.0902  7.13293  8.79364  8.45739  30.5075  10.6151  0.327194  0.00094921  0.000316941  0.00245657  0.0477776  0.000257805  5.11757e-05  9.21149e-07  1.52411e-05  1.32782e-05  5.7624e-05
5  0  7.63794  5.62687  6.66276  5.96655  116.238  13.4026  5117.69  72.529  50.1262  13.6445  30.9031  7.64275  4.31457  14.2998  91.2748  12.7087  25.2422  9.10038  12.9621  8.58565  0.353107  0.000852597  0.000251553  0.00200802  0.0490484  0.000267453  0.000102066  4.77742e-06  9.87308e-05  3.81153e-05  2.44835e-05
6  0  10.202  5.55332  2.0551  5.76467  106.321  13.1334  5118.24  72.5572  45.037  13.5229  12.5446  6.01955  2.62358  19.7897  43.1646  9.55696  0.41681  8.1587  4.67988  9.33264  0.34056  0.00113882  7.75905e-05  0.0018367  0.0490538  0.000240299  4.1432e-05  2.90503e-06  4.66906e-05  6.29375e-07  8.83958e-06
7  0  16.7437  5.95624  4.64276  5.73485  121.3  13.7152  5086.69  72.2431  64.0101  14.1569  13.4112  5.95319  8.60311  18.7476  143.102  14.7368  6.24884  8.60751  1.26183  8.99593  0.354468  0.00186904  0.000175288  0.00209546  0.0487513  0.000341532  4.4294e-05  9.52602e-06  0.000154791  9.43564e-06  2.38339e-06
8  0  15.1279  5.62054  8.50792  6.21374  150.396  14.734  5043.84  72.0269  107.573  16.1017  5.40206  5.92133  0.0288386  17.6468  77.6857  11.8681  26.6087  9.31287  5.71976  8.25596  0.357669  0.00168868  0.000321218  0.00259811  0.0483406  0.000573967  1.78417e-05  3.19323e-08  8.40316e-05  4.01786e-05  1.08037e-05
9  0  8.49703  5.60895  4.29111  5.95072  194.738  16.7229  4942.11  71.6516  107.449  17.3653  5.27282  5.77644  7.64149  15.0736  11.0515  7.07304  7.63973  8.51701  5.03475  9.02652  0.336513  0.000948494  0.000162011  0.0033641  0.0473657  0.000573307  1.74149e-05  8.46124e-06  1.19543e-05  1.15358e-05  9.50986e-06
10  0  20.6487  6.19826  14.2503  7.18106  184.847  16.7813  5055.84  72.2785  118.761  16.6707  1.50014  5.95587  17.6465  13.7111  1.90888  6.35963  25.0517  9.6097  10.3871  9.34808  0.410093  0.00230494  0.00053802  0.00319324  0.0484557  0.000633663  4.95463e-06  1.95395e-05  2.06481e-06  3.78276e-05  1.96197e-05
11  0  5.92909  5.35427  7.86738  6.69058  172.839  15.8713  5036.07  72.1573  139.675  17.939  0.878937  5.42354  4.77929  17.3306  7.26697  7.01161  18.9021  9.34499  6.10798  8.45013  0.347714  0.000661844  0.000297034  0.0029858  0.0482662  0.000745252  2.90293e-06  5.292e-06  7.86058e-06  2.85419e-05  1.1537e-05
12  0  13.866  6.43122  10.3063  6.99137  141.287  14.8434  5003.24  72.3768  147.101  18.9379  1.33275  5.76176  1.38202  11.681  4.07455  6.12843  6.17405  6.87784  1.32996  7.16793  0.352691  0.00154782  0.000389117  0.00244074  0.0479515  0.000784872  4.40176e-06  1.53028e-06  4.40739e-06  9.3227e-06  2.51209e-06
13  0  11.6491  5.6089  10.1589  6.3814  154.018  15.1102  5021.17  71.9085  96.801  16.5081  0.816948  5.51455  16.2122  16.3068  6.18207  6.70227  7.74164  8.07826  1.68176  8.30375  0.358611  0.00130036  0.000383552  0.00266067  0.0481235  0.000516491  2.69819e-06  1.79514e-05  6.68706e-06  1.16897e-05  3.17658e-06
