row  column  P-K  s(P-K)  S-K  s(S-K)  Cl-K  s(Cl-K)  Ar-K  s(Ar-K)  K-K  s(K-K)  Ca-K  s(Ca-K)  Mn-K  s(Mn-K)  Fe-K  s(Fe-K)  Cu-K  s(Cu-K)  Zn-K  s(Zn-K)  chisq  P-K-mass-fraction  S-K-mass-fraction  Cl-K-mass-fraction  Ar-K-mass-fraction  K-K-mass-fraction  Ca-K-mass-fraction  Mn-K-mass-fraction  Fe-K-mass-fraction  Cu-K-mass-fraction  Zn-K-mass-fraction
0  0  5.72349  4.94955  5.14996  4.84942  14.1343  5.8321  2772.72  58.5447  95.4461  13.5484  0.373671  4.75252  6.45707  10.7117  4.86492  5.02263  1.40828  6.2768  9.03701  6.28647  0.77366  0.000638893  0.000194437  0.000244171  0.026574  0.000509262  1.23415e-06  7.14977e-06  5.26232e-06  2.12648e-06  1.70695e-05
1  0  5.17036  4.90159  7.21251  5.36992  26.352  7.01194  3521.07  59.9182  0.762353  9.49075  1.41241  6.03349  7.64543  19.3519  11.6005  7.35657  21.5725  9.46963  8.70592  9.50748  0.411857  0.00057715  0.000272309  0.000455233  0.0337463  4.06761e-06  4.66485e-06  8.46561e-06  1.25481e-05  3.25741e-05  1.64441e-05
2  0  10.7189  5.63315  8.54963  5.67291  28.2605  7.74363  3541.41  60.1366  13.1731  10.7292  4.21536  5.71844  2.14484  13.1018  0.250773  6.22326  14.7759  8.09615  14.6133  8.07995  0.421351  0.00119652  0.000322792  0.000488202  0.0339412  7.02866e-05  1.39223e-05  2.37493e-06  2.71258e-07  2.23113e-05  2.76022e-05
3  0  13.2729  5.85468  12.2334  6.13378  34.6297  8.13013  3608.68  60.719  9.94156  9.99254  6.65417  5.47454  7.47526  13.0854  4.50217  5.786  2.9827  7.46429  0.168207  7.2154  0.427373  0.00148161  0.000461874  0.00059823  0.034586  5.30442e-05  2.19772e-05  8.27718e-06  4.86994e-06  4.50382e-06  3.17717e-07
4  0  17.7962  5.48687  19.6871  5.91892  141.204  13.9491  3596.51  61.1785  89.7774  15.6599  1.83482  5.93314  2.05395  15.5335  3.73092  6.88076  6.90921  7.54877  1.15479  9.26884  0.437405  0.00198653  0.000743287  0.00243931  0.0344693  0.000479016  6.05997e-06  2.27429e-06  4.03568e-06  1.04328e-05  2.18122e-06
5  0  10.4692  5.31666  8.95364  6.41132  257.637  18.5252  3628.93  62.7601  324.61  22.697  17.9745  7.1846  3.70006  10.6837  0.299615  5.70783  6.57372  6.74368  23.8591  8.53179  0.421983  0.00116865  0.000338046  0.0044507  0.03478  0.00173199  5.93657e-05  4.09699e-06  3.24089e-07  9.92619e-06  4.50661e-05
6  0  9.28702  5.52208  12.1271  7.06896  350.799  21.5945  3647.02  62.9443  376.74  24.967  1.6237  6.69026  5.44264  11.3533  16.9105  6.82913  0.96233  6.81553  0.0386319  6.66569  0.42786  0.00103668  0.000457861  0.00606007  0.0349534  0.00201013  5.36269e-06  6.02651e-06  1.82919e-05  1.4531e-06  7.29696e-08
7  0  11.0375  5.40898  13.5865  6.77592  277.37  19.5127  3654.65  62.5105  312.36  23.7505  5.41739  6.41977  2.16169  11.912  3.48335  6.23138  15.0924  8.39878  10.4002  7.84275  0.437584  0.00123208  0.000512958  0.00479158  0.0350266  0.00166663  1.78924e-05  2.39358e-06  3.7679e-06  2.27892e-05  1.96443e-05
8  0  15.9923  6.0552  6.0099  6.16045  233.04  17.9573  3875.1  64.0545  234.593  20.5652  7.42929  6.90312  2.51662  12.5598  8.9171  6.43383  13.6598  8.21635  3.3098  7.17392  0.426251  0.00178517  0.000226904  0.00402578  0.0371394  0.0012517  2.45372e-05  2.78659e-06  9.64551e-06  2.0626e-05  6.2517e-06
9  0  23.4559  6.22035  18.7671  7.08706  312.724  20.4731  3671.13  62.8232  373.201  25.0385  3.29959  6.89141  5.64305  11.567  4.65149  6.02216  3.41295  7.76835  0.812431  7.7773  0.437406  0.0026183  0.000708554  0.00540232  0.0351845  0.00199125  1.08978e-05  6.24842e-06  5.03145e-06  5.1535e-06  1.53456e-06
10  0  18.1076  5.70363  24.5707  6.78754  284.848  19.3259  3825.51  63.8425  334.264  24.0901  1.06393  6.7659  2.51973  10.9238  7.90524  6.43251  1.34261  6.81186  3.42341  7.34418  0.437805  0.0020213  0.00092767  0.00492077  0.0366641  0.0017835  3.5139e-06  2.79004e-06  8.55099e-06  2.02731e-06  6.46629e-06
11  0  19.3515  5.49313  18.8427  6.7169  212.444  17.1372  3914.12  64.2854  314.06  22.8911  1.07324  6.53076  1.69783  15.5233  9.21413  7.17446  10.7149  8.65441  0.682039  8.28156  0.399408  0.00216014  0.000711409  0.00366998  0.0375133  0.0016757  3.54467e-06  1.87997e-06  9.9668e-06  1.61793e-05  1.28827e-06
12  0  21.5026  6.02473  28.2252  7.23383  180.745  15.9448  3862.66  63.8111  236.648  21.4092  1.53373  6.11784  0.759082  11.565  3.03056  5.73756  4.83147  7.10982  2.54619  6.55206  0.42205  0.00240026  0.00106565  0.00312238  0.0370201  0.00126266  5.06554e-06  8.40514e-07  3.27812e-06  7.29543e-06  4.80937e-06
13  0  17.5548  5.81672  23.6112  6.78243  139.756  14.1805  3855.11  63.5912  224.426  20.8314  2.24158  6.51499  7.86056  14.4355  13.2627  6.83183  3.05178  7.40592  6.09988  8.56379  0.408474  0.00195959  0.000891442  0.00241428  0.0369478  0.00119745  7.40341e-06  8.70382e-06  1.43461e-05  4.60814e-06  1.15217e-05
14  0  15.1684  5.27432  28.3751  6.81748  125.944  13.158  4032.67  64.8475  181.186  18.4166  4.01546  5.7517  5.30589  15.4891  0.53925  5.90881  16.6466  7.69058  0.708885  7.45871  0.437494  0.0016932  0.00107131  0.00217568  0.0386495  0.000966737  1.32621e-05  5.87509e-06  5.833e-07  2.5136e-05  1.33897e-06
